GP-Nr;PLZ;Ort;Kanton;WärmePumpe; PV;PV-Leistung in kWp ;Batterie/Speicher;Ladestation für Elektrofahrzeuge;Wärmepumpenboiler;Datum Unterschrift;geplanter Baustart;Übergabe;InBetrieb-Datum;InBetrieb-Datum bezieht sich auf;MP IDs;n_meters
698970;5452;Oberrohrdorf;AG;-;x;;-;-;-;18.04.2008;;;;;54412;1
716671;8962;Bergdietikon;AG;x;x;;x;-;-;24.08.2017;;23.11.2017;04.12.2017;Wärmepumpe + PV + Batterie;64237;1
906991;4310;Rheinfelden;AG;x;-;;-;-;-;04.09.2017;;;ServicePlus gekündigt;Wärmepumpe;93249;1
123159;4310;Rheinfelden;AG;-;x;;x;-;-;20.11.2017;;;22.03.2018;PV + Batterie;64811;1
740532;5727;Oberkulm;AG;-;x;;-;-;-;21.12.2017;;;09.03.2018;PV;55475;1
714976;4313;Möhlin;AG;x;x;;-;-;-;13.04.2018;;;14.09.2018;Wärmepumpe + PV;135531,153129;2
692590;8962;Bergdietikon;AG;-;-;;x;-;x;30.07.2018;;;13.09.2018;Batterie + Wärmepumpenboiler;60933;1
870640;5027;Herznach;AG;x;-;;-;-;x;14.08.2018;;;;;124844;1
108398;5332;Rekingen AG;AG;-;x;;-;-;-;29.08.2018;;x;06.03.2019;PV;87431;1
821258;4303;Kaiseraugst;AG;-;x;;x;-;-;23.10.2018;;x;09.05.2023;PV + Batterie;120936;1
732971;4317;Wegenstetten;AG;-;x;;-;-;-;07.11.2018;;x;;;130680;1
718645;5504;Othmarsingen;AG;;x;;x;-;-;09.12.2018;;;;;101669;1
730631;4322;Mumpf;AG;x;x;;-;-;-;21.01.2019;20.05.2019;01.07.2019;21.05.2019;Wärmepumpe + PV;116381;1
785007;5622;Waltenschwil;AG;;x;;-;-;-;23.01.2019;06.05.2019;13.09.2019;09.05.2019;PV;107581;1
706538;4303;Kaiseraugst;AG;x;-;;-;-;-;03.03.2019;-;19.09.2019;;;114315;1
711464;8962;Bergdietikon;AG;x;;;;-;-;03.05.2019;;18.10.2019;16.08.2019;Wärmepumpe;60564;1
731486;5074;Eiken;AG;-;x;;-;-;-;28.05.2019;04.09.2019;01.11.2019;27.09.2019;PV;91092;1
785642;5622;Waltenschwil;AG;x;-;;-;-;-;03.06.2019;?;09.12.2019;;;131425;1
571965;5464;Rümikon AG;AG;-;x;;-;-;-;08.07.2019;;13.01.2020;28.11.2019;PV;63347;1
720480;4313;Möhlin;AG;-;x;;-;x;-;29.07.2019;KW42;08.01.2020;17.10.2019;PV + EV-Ladestation;166128;1
703359;5070;Frick;AG;-;x;;-;-;-;29.07.2019;KW42;05.12.2019;18.11.2019;PV;168410;1
723468;4310;Rheinfelden;AG;x;-;;-;-;-;31.07.2019;KW41;04.12.2019;13.11.2019;Wärmepumpe;88219;1
692320;8962;Bergdietikon;AG;-;x;;x;-;-;06.08.2019;KW44;20.02.2020;;;66803;1
135287;4333;Münchwilen AG;AG;-;x;;-;-;-;11.08.2019;KW44;04.11.2019;15.10.2019;PV;160101;1
812691;5620;Bremgarten AG;AG;x;-;;-;-;-;12.08.2019;05.11.2019;06.12.2019;18.11.2019;Wärmepumpe;147332;1
821264;4303;Kaiseraugst;AG;-;x;;x;-;-;19.08.2019;06.01.2019;05.03.2020;17.01.2020;PV + Batterie;120937;1
729113;4310;Rheinfelden;AG;x;-;;-;-;-;28.08.2019;28.10.2019;27.11.2019;11.11.2019;Wärmepumpe;99439;1
706277;5075;Hornussen;AG;;x;;x;;;05.09.2019;08.01.2020;21.02.2020;21.01.2020;PV + Batterie;150906;1
122506;5622;Waltenschwil;AG;;x;;x;-;-;09.09.2019;KW48;-;;;97562;1
739616;4813;Uerkheim;AG;-;x;;x;-;-;20.09.2019;-;-;11.05.2021;PV + Batterie;134852;1
734306;4312;Magden;AG;x;-;;x;-;-;21.09.2019;16.12.2019;06.02.2020;15.01.2020;Wärmepumpe + Batterie;170516,46962;2
740351;5107;Schinznach Dorf;AG;x;-;;-;-;-;28.09.2019;KW49;09.01.2020;10.12.2019;Wärmepumpe;137605;1
707268;5027;Herznach;AG;x;-;;-;-;-;06.11.2019;KW16;31.07.2020;01.05.2020;Wärmepumpe;127621;1
812691;5620;Bremgarten AG;AG;;x;;-;-;-;17.12.2019;KW16;05.06.2020;18.11.2019;PV;147332;1
692712;8962;Bergdietikon;AG;;x;;-;-;-;20.12.2019;KW24;-;;;62847;1
585704;5312;Döttingen;AG;-;x;;x;-;-;13.01.2020;04.02.2020;02.06.2020;16.04.2020;PV + Batterie;147413,147416,147417;3
134586;5726;Unterkulm;AG;x;x;;x;-;-;18.01.2020;KW21;16.07.2020;16.06.2020;Wärmepumpe + PV + Batterie;36920;1
727423;4325;Schupfart;AG;x;x;;-;-;-;24.02.2020;KW21;19.10.2020;28.05.2020;Wärmepumpe + PV;153284;1
700810;5236;Remigen;AG;x;x;;x;-;-;13.03.2020;22.07.2020;18.09.2020;13.08.2020;Wärmepumpe + PV + Batterie;170182;1
741214;4312;Magden;AG;-;-;;x;-;-;17.03.2020;11.05.2020;-;;;166047;1
745999;5330;Bad Zurzach;AG;x;-;;-;-;-;27.04.2020;KW38;23.11.2020;27.10.2020;Wärmepumpe;48393;1
829143;5522;Tägerig;AG;x;-;;-;-;-;11.05.2020;KW32;08.09.2020;;;97988,97990;2
866821;5070;Frick;AG;x;-;;-;-;-;09.06.2020;28.09.2020;18.11.2020;;;159613,159614;2
746421;5304;Endingen;AG;x;-;;-;-;-;14.06.2020;KW38;19.11.2020;25.09.2020;Wärmepumpe;94862;1
723468;4310;Rheinfelden;AG;-;-;;-;x;-;29.06.2020;25.08.2020;27.08.2020;13.11.2019;EV-Ladestation;88219;1
744851;5027;Herznach;AG;-;x;;-;-;-;02.07.2020;KW36;30.10.2020;;;127698,127700;2
785360;5622;Waltenschwil;AG;x;x;;x;-;-;05.08.2020;KW43;04.12.2020;29.10.2020;Wärmepumpe + PV + Batterie;107887;1
175356;5313;Klingnau;AG;-;x;;x;-;-;31.08.2020;KW11;02.06.2021;08.04.2021;PV + Batterie;42987;1
745999;5330;Bad Zurzach;AG;-;x;;-;-;-;04.09.2020;-;-;27.10.2020;PV;48393;1
714621;5107;Schinznach Dorf;AG;-;x;;x;-;-;09.09.2020;KW50;22.01.2021;17.12.2020;PV + Batterie;147474;1
847175;5106;Veltheim AG;AG;-;x;;-;-;-;21.09.2020;KW46;07.01.2021;04.12.2020;PV;62250;1
150401;4313;Möhlin;AG;-;x;;x;-;-;01.10.2020;KW1;08.03.2021;14.01.2021;PV + Batterie;126475;1
821264;4303;Kaiseraugst;AG;;;;x;;;04.10.2020;;-;17.01.2020;Batterie;120937;1
706277;5075;Hornussen;AG;;;;x;;;05.10.2020;;-;21.01.2020;Batterie;150906;1
720967;4310;Rheinfelden;AG;-;x;;x;-;-;10.10.2020;KW4;15.03.2021;;;48301,62454;2
713405;4315;Zuzgen;AG;x;-;;x;x;-;15.10.2020;KW19;24.06.2021;18.05.2021;Wärmepumpe + Batterie + EV-Ladestation;160446;1
162973;5727;Oberkulm;AG;-;x;;-;-;-;22.10.2020;KW8;14.04.2021;18.03.2021;PV;37545,37546,38326;3
158544;4310;Rheinfelden;AG;x;x;;x;-;-;22.10.2020;KW16;02.06.2021;30.04.2021;Wärmepumpe + PV + Batterie;88020;1
129225;5072;Oeschgen;AG;x;x;;x;-;-;26.10.2020;KW50;03.02.2021;18.12.2020;Wärmepumpe + PV + Batterie;33116;1
690299;4317;Wegenstetten;AG;-;x;;-;-;-;08.11.2020;KW7;19.03.2021;18.02.2021;PV;142292,142434,147161;3
137898;4315;Zuzgen;AG;-;x;;-;x;;21.11.2020;KW3;x;02.02.2021;PV + EV-Ladestation;169974;1
108801;5322;Koblenz;AG;x;x;;-;-;-;29.11.2020;KW16;08.06.2021;11.05.2021;Wärmepumpe + PV;168971;1
692320;8962;Bergdietikon;AG;-;-;;x;-;-;10.12.2020;;;;;66803;1
