GP-Nr;PLZ;Ort;Kanton;WärmePumpe; PV;PV-Leistung in kWp ;Batterie/Speicher;Ladestation für Elektrofahrzeuge;Wärmepumpenboiler;Datum Unterschrift;geplanter Baustart;Übergabe;InBetrieb-Datum;InBetrieb-Datum bezieht sich auf
698970;5452;Oberrohrdorf;AG;-;x;;-;-;-;18.04.2008;;;;
;5024;Küttigen;AG;-;-;;-;-;-;01.01.2017;;;;
196344;5732;Zetzwil;AG;-;-;;-;-;-;01.01.2017;;;21.06.2017;unbekannt (keine Anlage auf dieser Zeile markiert)
570021;5023;Biberstein;AG;x;-;;-;-;-;01.07.2017;;;24.11.2017;Wärmepumpe
716671;8962;Bergdietikon;AG;x;x;;x;-;-;24.08.2017;;23.11.2017;04.12.2017;Wärmepumpe + PV + Batterie
906991;4310;Rheinfelden;AG;x;-;;-;-;-;04.09.2017;;;ServicePlus gekündigt;Wärmepumpe
221278;8105;Regensdorf;ZH;-;x;;x;-;-;23.10.2017;;;07.12.2017;PV + Batterie
123159;4310;Rheinfelden;AG;-;x;;x;-;-;20.11.2017;;;22.03.2018;PV + Batterie
740532;5727;Oberkulm;AG;-;x;;-;-;-;21.12.2017;;;09.03.2018;PV
559816;5043;Holziken;AG;-;-;;-;-;-;24.02.2018;;;;
167357;5245;Habsburg;AG;-;-;;-;-;-;10.04.2018;;;09.03.2018;unbekannt (keine Anlage auf dieser Zeile markiert)
714976;4313;Möhlin;AG;x;x;;-;-;-;13.04.2018;;;14.09.2018;Wärmepumpe + PV
712416;5044;Schlossrued;AG;x;x;;-;-;-;17.05.2018;;x;21.09.2018;Wärmepumpe + PV
692590;8962;Bergdietikon;AG;-;-;;x;-;x;30.07.2018;;;13.09.2018;Batterie + Wärmepumpenboiler
573125;5102;Rupperswil;AG;x;-;;-;-;-;14.08.2018;;;05.11.2018;Wärmepumpe
870640;5027;Herznach;AG;x;-;;-;-;x;14.08.2018;;;;
573138;5616;Meisterschwanden;AG;x;x;;-;-;-;17.08.2018;;x;04.03.2019;Wärmepumpe + PV
108398;5332;Rekingen AG;AG;-;x;;-;-;-;29.08.2018;;x;06.03.2019;PV
909495;4805;Brittnau;AG;x;-;;-;-;-;11.09.2018;15.07.2019;14.03.2020;30.08.2019;Wärmepumpe
572761;8966;Oberwil-Lieli;AG;-;x;;x;-;-;21.09.2018;;;25.10.2018;PV + Batterie
821258;4303;Kaiseraugst;AG;-;x;;x;-;-;23.10.2018;;x;09.05.2023;PV + Batterie
573200;5022;Rombach;AG;-;x;;-;-;-;01.11.2018;;;07.12.2018;PV
732971;4317;Wegenstetten;AG;-;x;;-;-;-;07.11.2018;;x;;
573411;5024;Küttigen;AG;-;x;;-;-;-;11.11.2018;KW15;18.06.2019;;
718645;5504;Othmarsingen;AG;;x;;x;-;-;09.12.2018;;;;
573525;5024;Küttigen;AG;-;x;;-;-;-;14.12.2018;;x;;
186879;4334;Sisseln AG;AG;;x;;-;-;-;18.12.2018;x;03.05.2019;03.04.2019;PV
573459;5102;Rupperswil;AG;-;x;;-;-;-;11.01.2019;KW15;15.05.2019;12.04.2019;PV
131732;4323;Wallbach;AG;;;;;-;-;14.01.2019;16.04.2019;08.05.2019;21.03.2019;unbekannt (keine Anlage auf dieser Zeile markiert)
730631;4322;Mumpf;AG;x;x;;-;-;-;21.01.2019;20.05.2019;01.07.2019;21.05.2019;Wärmepumpe + PV
573526;5024;Küttigen;AG;-;x;;-;-;-;22.01.2019;13.05.2019;11.09.2019;;
785007;5622;Waltenschwil;AG;;x;;-;-;-;23.01.2019;06.05.2019;13.09.2019;09.05.2019;PV
707713;4323;Wallbach;AG;x;x;;x;-;-;23.01.2019;06.05.2019;01.07.2019;28.05.2019;Wärmepumpe + PV + Batterie
573250;5000;Aarau;AG;x;x;;x;-;-;24.01.2019;30.08.2019;22.11.2019;24.10.2019;Wärmepumpe + PV + Batterie
573469;5000;Aarau;AG;;x;;-;-;-;05.02.2019;23.04.2019;16.05.2019;03.05.2019;PV
573343;5000;Aarau;AG;x;-;;-;-;-;24.02.2019;01.07.2019;26.08.2019;10.07.2019;Wärmepumpe
706538;4303;Kaiseraugst;AG;x;-;;-;-;-;03.03.2019;-;19.09.2019;;
573527;5036;Oberentfelden;AG;;x;;-;-;-;20.03.2019;KW16;26.06.2019;;
573962;5024;Küttigen;AG;-;x;;x;-;-;21.03.2019;25.06.2019;12.09.2019;02.07.2019;PV + Batterie
909467;5702;Niederlenz;AG;x;x;;x;-;-;14.04.2019;17.05.2019;19.07.2019;08.07.2019;Wärmepumpe + PV + Batterie
574773;8903;Birmensdorf ZH;ZH;;x;;-;-;-;03.05.2019;10.01.2020;05.05.2020;22.01.2020;PV
711464;8962;Bergdietikon;AG;x;;;;-;-;03.05.2019;;18.10.2019;16.08.2019;Wärmepumpe
572837;5035;Unterentfelden;AG;x;-;;-;-;-;19.05.2019;14.08.2019;20.09.2019;27.08.2019;Wärmepumpe
731486;5074;Eiken;AG;-;x;;-;-;-;28.05.2019;04.09.2019;01.11.2019;27.09.2019;PV
785642;5622;Waltenschwil;AG;x;-;;-;-;-;03.06.2019;?;09.12.2019;;
574477;5276;Wil AG;AG;x;-;;-;-;-;10.06.2019;09.09.2019;24.10.2019;30.07.2019;Wärmepumpe
575135;5012;Eppenberg;SO;-;x;;-;x;-;25.06.2019;KW41;01.11.2019;23.10.2019;PV + EV-Ladestation
571965;5464;Rümikon AG;AG;-;x;;-;-;-;08.07.2019;;13.01.2020;28.11.2019;PV
558719;4310;Rheinfelden;AG;-;-;;x;-;-;12.07.2019;12.08.2019;14.08.2019;;
176630;5621;Zufikon;AG;-;-;;x;x;-;18.07.2019;24.09.2019;18.10.2019;26.09.2019;Batterie + EV-Ladestation
574685;4322;Mumpf;AG;-;x;;x;x;-;24.07.2019;16.09.2019;07.11.2019;16.10.2019;PV + Batterie + EV-Ladestation
574845;8916;Jonen;AG;-;x;;-;-;-;27.07.2019;03.10.2019;07.11.2019;24.10.2019;PV
720480;4313;Möhlin;AG;-;x;;-;x;-;29.07.2019;KW42;08.01.2020;17.10.2019;PV + EV-Ladestation
703359;5070;Frick;AG;-;x;;-;-;-;29.07.2019;KW42;05.12.2019;18.11.2019;PV
723468;4310;Rheinfelden;AG;x;-;;-;-;-;31.07.2019;KW41;04.12.2019;13.11.2019;Wärmepumpe
574802;4663;Aarburg;AG;x;x;;-;x;-;31.07.2019;KW41;08.11.2019;18.10.2019;Wärmepumpe + PV + EV-Ladestation
692320;8962;Bergdietikon;AG;-;x;;x;-;-;06.08.2019;KW44;20.02.2020;;
135287;4333;Münchwilen AG;AG;-;x;;-;-;-;11.08.2019;KW44;04.11.2019;15.10.2019;PV
812691;5620;Bremgarten AG;AG;x;-;;-;-;-;12.08.2019;05.11.2019;06.12.2019;18.11.2019;Wärmepumpe
821264;4303;Kaiseraugst;AG;-;x;;x;-;-;19.08.2019;06.01.2019;05.03.2020;17.01.2020;PV + Batterie
575120;5062;Oberhof;AG;-;-;;-;x;-;20.08.2019;19.09.2019;06.11.2019;23.10.2019;EV-Ladestation
729113;4310;Rheinfelden;AG;x;-;;-;-;-;28.08.2019;28.10.2019;27.11.2019;11.11.2019;Wärmepumpe
706277;5075;Hornussen;AG;;x;;x;;;05.09.2019;08.01.2020;21.02.2020;21.01.2020;PV + Batterie
122506;5622;Waltenschwil;AG;;x;;x;-;-;09.09.2019;KW48;-;;
573484;5033;Buchs AG;AG;-;x;;x;x;-;10.09.2019;15.01.2020;28.02.2020;30.01.2020;PV + Batterie + EV-Ladestation
576915;5442;Fislisbach;AG;-;x;;-;-;-;18.09.2019;24.01.2020;11.03.2020;05.02.2020;PV
739616;4813;Uerkheim;AG;-;x;;x;-;-;20.09.2019;-;-;11.05.2021;PV + Batterie
157648;5272;Gansingen;AG;-;x;;x;-;-;21.09.2019;27.01.2020;21.02.2020;07.02.2020;PV + Batterie
