sample_id;gp_nr;period;label;install_date;n_meters;n_valid_days;n_calendar_days;coverage_pct;first_day;last_day;baseline_clean
227509_after;227509;after;Wärmepumpe;2026-01-16;1;181;197;91.9;2026-01-16;2026-07-31;true
227509_before;227509;before;none;2026-01-16;1;1096;1111;98.6;2023-01-01;2026-01-15;true
688436_after;688436;after;PV;2026-04-27;2;34;34;100.0;2026-04-27;2026-05-30;true
688436_before;688436;before;none;2026-04-27;2;131;148;88.5;2025-11-30;2026-04-26;true
692971_after;692971;after;Wärmepumpe;2023-09-15;1;1048;1051;99.7;2023-09-15;2026-07-31;true
692971_before;692971;before;none;2023-09-15;1;97;98;99.0;2023-06-09;2023-09-14;true
703035_after;703035;after;Wärmepumpe;2023-09-04;2;1059;1062;99.7;2023-09-04;2026-07-31;true
703035_before;703035;before;none;2023-09-04;2;234;246;95.1;2023-01-01;2023-09-03;true
709624_after;709624;after;PV;2023-08-02;1;1060;1094;96.9;2023-08-03;2026-07-31;true
709624_before;709624;before;none;2023-08-02;1;160;174;92.0;2023-02-09;2023-08-01;true
724334_after;724334;after;PV;2024-12-04;1;605;605;100.0;2024-12-04;2026-07-31;true
724334_before;724334;before;none;2024-12-04;1;26;28;92.9;2024-11-06;2024-12-03;true
740863_after;740863;after;Batterie;2025-10-14;1;289;290;99.7;2025-10-15;2026-07-31;false
740863_before;740863;before;none;2025-10-14;1;972;1017;95.6;2023-01-01;2025-10-13;false
778612_after;778612;after;Batterie;2025-04-17;1;470;471;99.8;2025-04-17;2026-07-31;false
778612_before;778612;before;none;2025-04-17;1;29;30;96.7;2025-03-18;2025-04-16;false
896125_after;896125;after;PV;2024-09-19;1;504;680;74.1;2024-09-20;2026-07-31;true
896125_before;896125;before;none;2024-09-19;1;613;627;97.8;2023-01-01;2024-09-18;true
897928_after;897928;after;Wärmepumpe;2025-10-30;1;275;275;100.0;2025-10-30;2026-07-31;true
897928_before;897928;before;none;2025-10-30;1;868;869;99.9;2023-06-13;2025-10-28;true
