sample_id;gp_nr;period;label;install_date;n_meters;n_valid_days;n_calendar_days;coverage_pct;first_day;last_day;baseline_clean;w_n_meters;w_n_meters_with_data;w_is_multi_meter;w_is_multi_unit;w_meter_max_winter_summer_ratio;w_meter_min_summer_share;w_meter_concentration;w_n_heat_pump_like_meters;w_is_winter_dominant;w_has_dedicated_hp_meter;w_n_production_only_meters;w_has_production_only_meter;w_n_months_in_window
227509_after;227509;after;Wärmepumpe;2026-01-16;1;181;197;91.9;2026-01-16;2026-07-31;True;1;1;0;0;3.5046278248235967;0.22199392244777966;1.0;0;0;0;0;0;7
227509_before;227509;before;none;2026-01-16;1;1096;1111;98.6;2023-01-01;2026-01-15;True;1;1;0;0;3.2817497478425364;0.23354938025135033;1.0;0;0;0;0;0;37
688436_after;688436;after;PV;2026-04-27;2;34;34;100.0;2026-04-27;2026-05-30;True;3;3;1;0;;1.0;0.9555056248241974;0;0;0;1;1;2
688436_before;688436;before;none;2026-04-27;2;131;148;88.5;2025-11-30;2026-04-26;True;3;3;1;0;;;0.9687584382245115;0;0;0;0;0;6
692971_after;692971;after;Wärmepumpe;2023-09-15;1;1048;1051;99.7;2023-09-15;2026-07-31;True;1;1;0;0;2.2095884087468853;0.31156642928880357;1.0;0;0;0;0;0;35
692971_before;692971;before;none;2023-09-15;1;97;98;99.0;2023-06-09;2023-09-14;True;1;1;0;0;;1.0;1.0;0;0;0;0;0;4
703035_after;703035;after;Wärmepumpe;2023-09-04;2;1059;1062;99.7;2023-09-04;2026-07-31;True;2;2;1;0;6.050258081073767;0.14183877930433125;0.8846151493118019;1;1;1;0;0;35
703035_before;703035;before;none;2023-09-04;2;234;246;95.1;2023-01-01;2023-09-03;True;2;2;1;0;1.2197347596355128;0.4505042756388619;0.5123871372819879;0;0;0;0;0;9
709624_after;709624;after;PV;2023-08-02;1;1060;1094;96.9;2023-08-03;2026-07-31;True;1;1;0;0;3.1599951335543537;0.2403848965913542;1.0;0;0;0;0;0;35
709624_before;709624;before;none;2023-08-02;1;160;174;92.0;2023-02-09;2023-08-01;True;1;1;0;0;1.769441422636445;0.3610836437363686;1.0;0;0;0;0;0;7
724334_after;724334;after;PV;2024-12-04;1;605;605;100.0;2024-12-04;2026-07-31;True;1;1;0;0;6.901018514542796;0.12656596085167718;1.0;1;1;0;0;0;20
724334_before;724334;before;none;2024-12-04;1;26;28;92.9;2024-11-06;2024-12-03;True;1;1;0;0;;;1.0;0;0;0;0;0;2
740863_after;740863;after;Batterie;2025-10-14;1;289;290;99.7;2025-10-15;2026-07-31;False;1;1;0;0;35.148765838117974;0.0276634617203314;1.0;1;1;0;0;0;10
740863_before;740863;before;none;2025-10-14;1;972;1017;95.6;2023-01-01;2025-10-13;False;1;1;0;0;7.346609449424707;0.1198091280129233;1.0;1;1;0;0;0;33
778612_after;778612;after;Batterie;2025-04-17;1;470;471;99.8;2025-04-17;2026-07-31;False;1;1;0;0;13.40763399100698;0.06940764879397855;1.0;1;1;0;0;0;16
778612_before;778612;before;none;2025-04-17;1;29;30;96.7;2025-03-18;2025-04-16;False;1;1;0;0;;;1.0;0;0;0;0;0;2
896125_after;896125;after;PV;2024-09-19;1;504;680;74.1;2024-09-20;2026-07-31;True;1;1;0;0;3.988357905410449;0.20046677062112658;1.0;0;0;0;0;0;22
896125_before;896125;before;none;2024-09-19;1;613;627;97.8;2023-01-01;2024-09-18;True;1;1;0;0;1.5050788982074916;0.3991890238329618;1.0;0;0;0;0;0;21
897928_after;897928;after;Wärmepumpe;2025-10-30;1;275;275;100.0;2025-10-30;2026-07-31;True;1;1;0;0;2.71811737976803;0.2689533163857213;1.0;0;0;0;0;0;10
897928_before;897928;before;none;2025-10-30;1;868;869;99.9;2023-06-13;2025-10-28;True;1;1;0;0;4.80808498090888;0.17217378934485128;1.0;1;1;0;0;0;29
