gp_nr,mp_id,zpb,anlage,battery_positive,audit_negative,battery_commissioning_date,has_pv_row,has_meter,n_gigi_rows,plz,kanton
698970,54412,CH1011701234500000000000002093896,506808,True,False,2018-06-21,True,True,2,5452,AG
196344,,,,True,False,2017-06-21,True,False,2,5732,AG
570021,,,,True,False,2017-11-24,True,False,3,5023,AG
716671,64237,CH1011701234500000000000002091569,503518,True,False,2017-12-04,True,True,2,8962,AG
906991,93249,CH1011701234500000000000000556956,381335,False,True,,False,True,1,4310,AG
221278,,,,True,False,2017-12-07,True,False,1,8105,ZH
123159,64811,CH1011701234500000000000002092619,504633,True,False,2018-03-22,True,True,2,4310,AG
740532,55475,CH1011701234500000000000002092986,505004,False,True,,True,True,1,5727,AG
559816,,,,False,True,,False,False,1,5043,AG
167357,,,,False,True,,False,False,2,5245,AG
714976,153129,CH1011701234500000000000002094098,509207,False,True,,True,True,1,4313,AG
714976,135531,CH1011701234500000000000000551591,348559,False,True,,True,True,1,4313,AG
712416,,,,False,True,,True,False,1,5044,AG
692590,60933,CH1011701234500000000000000606887,480361,True,False,2018-09-13,False,True,1,8962,AG
573125,,,,False,True,,False,False,1,5102,AG
870640,124844,CH1011701234500000000000002087635,496235,False,True,,False,True,1,5027,AG
573138,,,,True,False,,True,False,2,5616,AG
108398,87431,CH1011701234500000000000002103820,519504,False,True,,True,True,1,5332,AG
909495,,,,False,True,,False,False,1,4805,AG
572761,,,,True,False,2018-10-25,True,False,3,8966,AG
821258,120936,CH1011701234500000000000002095537,510895,True,False,2023-05-09,True,True,2,4303,AG
573200,,,,False,True,,True,False,1,5022,AG
732971,130680,CH1011701234500000000000002095437,510793,True,False,,True,True,2,4317,AG
573411,,,,False,True,,True,False,1,5024,AG
718645,101669,CH1011701234500000000000002095841,511202,True,False,,True,True,1,5504,AG
573525,,,,True,False,,True,False,2,5024,AG
186879,,,,False,True,,True,False,1,4334,AG
573459,,,,True,False,2019-04-12,True,False,3,5102,AG
131732,,,,True,False,2019-03-21,True,False,2,4323,AG
730631,116381,CH1011701234500000000000002096531,511859,False,True,,True,True,1,4322,AG
573526,,,,False,True,,True,False,1,5024,AG
785007,107581,CH1011701234500000000000002096521,511850,True,False,2019-05-09,True,True,3,5622,AG
707713,,,,True,False,2019-05-28,True,False,2,4323,AG
573250,,,,True,False,2019-10-24,True,False,1,5000,AG
573469,,,,True,False,2019-05-03,True,False,3,5000,AG
573343,,,,False,True,,False,False,1,5000,AG
706538,114315,CH1011701234500000000000002126416,536682,False,True,,False,True,1,4303,AG
573527,,,,True,False,,True,False,4,5036,AG
573962,,,,True,False,2019-07-02,True,False,2,5024,AG
909467,,,,True,False,2019-07-08,True,False,1,5702,AG
574773,,,,False,True,,True,False,1,8903,ZH
711464,60564,CH1011701234500000000000000582068,353381,False,False,,False,True,1,8962,AG
572837,,,,True,False,2019-08-27,True,False,5,5035,AG
731486,91092,CH1011701234500000000000002097510,512857,False,True,,True,True,1,5074,AG
785642,131425,CH1011701234500000000000002137288,550256,False,True,,False,True,1,5622,AG
574477,,,,True,False,2019-07-30,True,False,4,5276,AG
575135,,,,True,False,2019-10-23,True,False,3,5012,SO
571965,63347,CH1011701234500000000000002098374,513935,False,True,,True,True,3,5464,AG
558719,,,,True,False,,False,False,2,4310,AG
176630,,,,True,False,2019-09-26,False,False,1,5621,AG
574685,,,,True,False,2019-10-16,True,False,3,4322,AG
574845,,,,False,True,,True,False,1,8916,AG
720480,166128,CH1011701234500000000000002097108,512453,False,True,,True,True,1,4313,AG
703359,168410,CH1011701234500000000000002098104,513692,False,True,,True,True,1,5070,AG
723468,88219,CH1011701234500000000000000606664,480130,False,True,,False,True,2,4310,AG
574802,,,,True,False,2025-12-05,True,False,2,4663,AG
692320,66803,CH1011701234500000000000002098478,514035,True,False,,True,True,2,8962,AG
135287,160101,CH1011701234500000000000002097845,513206,True,False,2019-10-15,True,True,2,4333,AG
812691,147332,CH1011701234500000000000002100079,515715,False,True,,True,True,3,5620,AG
821264,120937,CH1011701234500000000000002098639,514234,True,False,2020-01-17,True,True,3,4303,AG
575120,,,,True,False,2019-10-23,True,False,3,5062,AG
729113,99439,CH1011701234500000000000002128571,538889,False,True,,False,True,1,4310,AG
