gp_nr,mp_id,zpb,anlage,pv_label,label_source,pv_commissioning_date,has_meter,has_blank_pv_row,n_gigi_rows,pv_kwp,plz,ort,kanton
10179,,,,,unlabeled,,False,False,1,,5024,Küttigen,AG
104479,105637,CH1011701234500000000000002129304,539681.0,1.0,gigi_pv,2024-04-15,True,False,1,11.48,8962,Bergdietikon,AG
104479,60373,CH1011701234500000000000000592368,463340.0,1.0,gigi_pv,2024-04-15,True,False,1,11.48,8962,Bergdietikon,AG
104987,109050,CH1011701234500000000000002128171,538467.0,1.0,gigi_pv,2023-11-03,True,False,1,16.61,4322,Mumpf,AG
106914,124215,CH1011701234500000000000002135129,547625.0,1.0,gigi_pv,2025-03-06,True,False,1,15.13,5608,Stetten AG,AG
107868,165917,CH1011701234500000000000000594222,465201.0,1.0,gigi_pv,2024-09-06,True,True,2,,5322,Koblenz,AG
107868,165138,CH1011701234500000000000000593239,464220.0,1.0,gigi_pv,2024-09-06,True,True,2,,5322,Koblenz,AG
108398,87431,CH1011701234500000000000002103820,519504.0,1.0,gigi_pv,2019-03-06,True,False,1,,5332,Rekingen AG,AG
108801,168971,CH1011701234500000000000002104604,520292.0,1.0,gigi_pv,2021-05-11,True,False,2,,5322,Koblenz,AG
108808,169871,CH1011701234500000000000002129237,539577.0,1.0,gigi_pv,,True,False,1,,5322,Koblenz,AG
109103,167809,CH1011701234500000000000002122744,532781.0,,unlabeled,,True,False,1,,5322,Koblenz,AG
109103,167808,CH1011701234500000000000000594078,465056.0,,unlabeled,,True,False,1,,5322,Koblenz,AG
109520,154551,CH1011701234500000000000000552984,456847.0,,unlabeled,,True,False,1,,4313,Möhlin,AG
112352,56399,CH1011701234500000000000002107057,522821.0,1.0,gigi_pv,,True,False,2,,5105,Auenstein,AG
113592,105543,CH1011701234500000000000002129250,539594.0,1.0,gigi_pv,2024-06-28,True,False,1,,5106,Veltheim AG,AG
115673,128897,CH1011701234500000000000000592271,463243.0,,unlabeled,,True,True,1,,4317,Wegenstetten,AG
115673,128853,CH1011701234500000000000000557931,361098.0,,unlabeled,,True,True,1,,4317,Wegenstetten,AG
116373,,,,1.0,gigi_pv,,False,False,1,,5083,Ittenthal,AG
116909,,,,1.0,gigi_pv,2024-03-28,False,False,1,,4665,Oftringen,AG
117726,54162,CH1011701234500000000000002106215,521942.0,1.0,gigi_pv,,True,False,2,,4310,Rheinfelden,AG
118160,162401,CH1011701234500000000000002140664,554075.0,1.0,gigi_pv,,True,False,1,11.4,5607,Hägglingen,AG
118168,150672,CH1011701234500000000000002129468,539855.0,1.0,gigi_pv,2024-05-01,True,False,2,,5607,Hägglingen,AG
118180,139818,CH1011701234500000000000002106222,521949.0,1.0,gigi_pv,2021-11-04,True,False,1,,5607,Hägglingen,AG
118265,140406,CH1011701234500000000000002137635,550700.0,1.0,gigi_pv,2025-05-05,True,False,1,14.24,5607,Hägglingen,AG
118265,140444,CH1011701234500000000000000596199,467223.0,1.0,gigi_pv,2025-05-05,True,False,1,14.24,5607,Hägglingen,AG
118265,140443,CH1011701234500000000000000596195,467219.0,1.0,gigi_pv,2025-05-05,True,False,1,14.24,5607,Hägglingen,AG
118609,150083,CH1011701234500000000000002124480,534578.0,1.0,gigi_pv,2023-04-06,True,True,2,,5607,Hägglingen,AG
118609,96945,CH1011701234500000000000000596399,467423.0,1.0,gigi_pv,2023-04-06,True,True,2,,5607,Hägglingen,AG
118639,149254,CH1011701234500000000000002131774,542657.0,1.0,gigi_pv,2024-07-04,True,False,1,30.88,5607,Hägglingen,AG
119324,,,,1.0,gigi_pv,2024-09-18,False,False,2,,5614,Sarmenstorf,AG
120135,154632,CH1011701234500000000000002125860,536113.0,1.0,gigi_pv,2023-11-01,True,True,2,13.2,4313,Möhlin,AG
120137,154633,CH1011701234500000000000002125937,536191.0,1.0,gigi_pv,2023-11-01,True,False,2,13.6,4313,Möhlin,AG
