gp_nr;n_meters;n_meters_with_data;meter_max_winter_summer_ratio;meter_min_summer_share;n_heat_pump_like_meters;n_production_only_meters;meter_max_imp_kwh;meter_min_imp_kwh;household_imp_kwh;household_exp_kwh;is_winter_dominant;has_dedicated_hp_meter;has_production_only_meter;is_multi_meter;is_multi_unit;meter_concentration
104479;2;2;46.65356843966398;0.020984787346327246;1;0;23523.986006371677;4408.1080104112625;27932.09401678294;11247.259713163017;1;1;0;1;0;0.8421848355600314
104987;1;1;22.051338680419704;0.04338142846555897;1;0;13260.210033483803;13260.210033483803;13260.210033483803;16787.975685130106;1;0;0;0;0;1.0
106914;1;1;17.15938333404206;0.055067949258242356;1;0;9061.65800254792;9061.65800254792;9061.65800254792;11403.520760299638;1;0;0;0;0;1.0
107868;2;2;;1.0;0;0;511.1940006017685;98.26199951767921;609.4560001194477;0.0;0;0;0;1;0;0.8387709703433541
108398;1;1;6.962362916994937;0.12559085919904397;1;0;5756.991999089718;5756.991999089718;5756.991999089718;8460.120007748948;1;0;0;0;0;1.0
108801;1;1;;1.0;0;1;35.44199940748513;35.44199940748513;35.44199940748513;2869.3429451584816;0;0;1;0;0;1.0
108808;1;1;;1.0;0;1;11.693999662995338;11.693999662995338;11.693999662995338;3426.184962749481;0;0;1;0;0;1.0
109103;2;2;;1.0;0;0;374.0429995059967;125.56299960613251;499.6059991121292;0.0;0;0;0;1;0;0.7486759569955609
109520;1;1;1.009365654374521;0.4976694997363642;0;0;3382.63094997406;3382.63094997406;3382.63094997406;0.0;0;0;0;0;0;1.0
112352;1;1;189.81715281908302;0.005240619017872658;1;0;9166.192986774258;9166.192986774258;9166.192986774258;27609.55079615605;1;0;0;0;0;1.0
113592;1;1;42.59405272138881;0.022938908809213877;1;0;10787.809980385005;10787.809980385005;10787.809980385005;42670.62387010222;1;0;0;0;0;1.0
115673;2;2;2.3114046859947206;0.30198664760891575;0;1;17125.996993228793;49.591002588160336;17175.587995816953;5239.046997972182;0;0;1;1;0;0.997112704228802
117726;1;1;2.952998453216274;0.25297252499210343;0;0;9077.403936149552;9077.403936149552;9077.403936149552;23523.80893274676;0;0;0;0;0;1.0
118160;1;1;0.0;1.0;0;0;1259.9969907850027;1259.9969907850027;1259.9969907850027;5374.4920172691345;0;0;0;0;0;1.0
118168;1;1;45.48482953260423;0.02151239468994083;1;0;9420.682987812907;9420.682987812907;9420.682987812907;7996.649932249333;1;0;0;0;0;1.0
118180;1;1;144.66940325795255;0.006864859590515326;1;0;7133.4119668751955;7133.4119668751955;7133.4119668751955;22196.366262299824;1;0;0;0;0;1.0
118265;3;3;5.39893519683422;0.1562760004968851;1;0;5222.487970173359;11.242999907582998;9153.75998371467;9171.45393240219;1;1;0;1;0;0.5705292666035178
118609;2;2;103.66322836602474;0.009554453991260746;2;0;16653.52602148056;11970.129032164812;28623.655053645372;5264.281947050476;1;0;0;1;0;0.5818099047892085
118639;1;1;11.034282031340068;0.08309594185974432;1;0;10978.362987995148;10978.362987995148;10978.362987995148;18209.317073395592;1;0;0;0;0;1.0
120135;1;1;26.764659792716433;0.036017008941068754;1;0;3552.647990334779;3552.647990334779;3552.647990334779;4067.8118996182457;1;0;0;0;0;1.0
120137;1;1;8.64850963969219;0.10364294977601353;1;0;6128.595015686005;6128.595015686005;6128.595015686005;4061.4059247979894;1;0;0;0;0;1.0
122506;1;1;3.3667117800563546;0.22900526766323342;0;0;5027.866946287453;5027.866946287453;5027.866946287453;6620.506954122218;0;0;0;0;0;1.0
123159;1;1;5.466826409667604;0.15463535537385797;1;0;19903.845026135445;19903.845026135445;19903.845026135445;8878.303005152498;1;0;0;0;0;1.0
126001;1;1;;1.0;0;0;233.83899983949956;233.83899983949956;233.83899983949956;5454.26690480113;0;0;0;0;0;1.0
127293;1;1;26.215932548193;0.03674318336251149;1;0;1758.6809972897172;1758.6809972897172;1758.6809972897172;16725.627012159675;1;0;0;0;0;1.0
127600;1;1;164.0418646830927;0.006059068721261499;1;0;6843.813014773652;6843.813014773652;6843.813014773652;10124.076666441862;1;0;0;0;0;1.0
129225;1;1;6.804499804239775;0.12813120956922217;1;0;35292.2721041739;35292.2721041739;35292.2721041739;15619.885925913346;1;0;0;0;0;1.0
129447;1;1;80.46550321764266;0.012275134388213465;1;0;15072.411986935884;15072.411986935884;15072.411986935884;24592.072931451723;1;0;0;0;0;1.0
129462;1;1;4.593678929139686;0.17877322110688273;1;0;63711.01201296225;63711.01201296225;63711.01201296225;6401.21596174757;1;0;0;0;0;1.0
130747;1;1;2.235121442944397;0.3091074068273199;0;0;27590.618978381157;27590.618978381157;27590.618978381157;0.0;0;0;0;0;0;1.0
131436;2;2;14.69669832512647;0.06370766509535647;1;0;3373.6799905374646;965.4230077042012;4339.102998241666;1932.1119865126675;1;1;0;1;0;0.777506316836586
131858;1;1;3.6547271573541624;0.2148353633187857;0;0;32159.581875801086;32159.581875801086;32159.581875801086;0.0;0;0;0;0;0;1.0
132315;1;1;;1.0;0;0;1130.1730072498322;1130.1730072498322;1130.1730072498322;5099.521018981934;0;0;0;0;0;1.0
132812;1;1;1.2806315903209167;0.43847502781424075;0;0;36182.86198043823;36182.86198043823;36182.86198043823;505.6530017852783;0;0;0;0;0;1.0
133692;1;1;23.10987775766515;0.0414767760355846;1;0;5019.062987044454;5019.062987044454;5019.062987044454;7723.414990643389;1;0;0;0;0;1.0
133710;1;1;1.3889479277836005;0.4185943060415604;0;0;4049.298964627087;4049.298964627087;4049.298964627087;4610.88387342589;0;0;0;0;0;1.0
134065;1;1;9.401493878510037;0.0961400363909309;1;0;9446.383928988129;9446.383928988129;9446.383928988129;4648.357899969793;1;0;0;0;0;1.0
134586;1;1;5.6028436319291455;0.1514498988230365;1;0;18878.8049775362;18878.8049775362;18878.8049775362;27615.715027858852;1;0;0;0;0;1.0
135287;1;1;0.0;1.0;0;0;596.1569947618992;596.1569947618992;596.1569947618992;3705.610899273306;0;0;0;0;0;1.0
135868;1;1;30.746775932633437;0.031499261598154;1;0;3159.833000048995;3159.833000048995;3159.833000048995;15848.412875368493;1;0;0;0;0;1.0
136557;1;1;23.813630640511267;0.04030043061765329;1;0;6174.849989145994;6174.849989145994;6174.849989145994;2112.0529895520303;1;0;0;0;0;1.0
137763;1;1;6.918048279869172;0.12629374874391683;1;0;5729.269008122385;5729.269008122385;5729.269008122385;7291.9168474522885;1;0;0;0;0;1.0
137898;1;1;;1.0;0;0;573.6569962501526;573.6569962501526;573.6569962501526;1707.9810090065002;0;0;0;0;0;1.0
142012;1;1;3.740809941123079;0.2109344209996117;0;0;32992.64504241943;32992.64504241943;32992.64504241943;0.0;0;0;0;0;0;1.0
142682;1;1;15.665808836402674;0.060003088347907074;1;0;2265.0379905235022;2265.0379905235022;2265.0379905235022;12375.560977319255;1;0;0;0;0;1.0
143397;8;8;8.784760158375358;0.10219974570802746;1;0;13089.311986923218;15.161000252701342;23945.844988673925;61.063001587986946;1;1;0;1;1;0.5466214281899132
144863;1;1;11.975121667220776;0.07707056824956897;1;0;12955.215036150068;12955.215036150068;12955.215036150068;22931.415681743412;1;0;0;0;0;1.0
145326;1;1;4.950911301073559;0.16804148968236135;1;0;16017.989965677261;16017.989965677261;16017.989965677261;23171.832014972344;1;0;0;0;0;1.0
146018;3;3;34.212068447734296;0.028399354087486003;3;0;22968.10502052307;1223.8820118494332;44662.699993062764;7840.097065959359;1;0;0;1;0;0.514256975599115
146807;1;1;13.362366651910362;0.06962640797552598;1;0;16187.803956966847;16187.803956966847;16187.803956966847;19338.63762344478;1;0;0;0;0;1.0
149164;1;1;9.070329991058289;0.09930161185263307;1;0;18286.933985726908;18286.933985726908;18286.933985726908;20926.062635421753;1;0;0;0;0;1.0
150401;1;1;2.2724130409223915;0.3055848963730236;0;0;7870.159006655216;7870.159006655216;7870.159006655216;11858.001894025132;0;0;0;0;0;1.0
150951;1;1;3.1584409182651765;0.2404747403306096;0;0;20119.91096353531;20119.91096353531;20119.91096353531;11132.21103023435;0;0;0;0;0;1.0
150964;1;1;12.15244450100032;0.07603149360743884;1;0;2899.0730270119384;2899.0730270119384;2899.0730270119384;15557.807963256957;1;0;0;0;0;1.0
151081;2;2;4.8385234763518845;0.17127618036484032;1;0;43475.281981274486;348.9449896812439;43824.22697095573;154138.92588342726;1;1;0;1;0;0.9920376236205488
