sample_id;group_id;gp_nr;plz;sample_type;window_anchored_to_install;n_days;first_day;last_day;has_PV;has_Waermepumpe;has_Batterie;has_EV;has_WP_Boiler;einsp_mean_kwh_d;einsp_max_kwh_d;frac_days_feedin;he00;he01;he02;he03;he04;he05;he06;he07;he08;he09;he10;he11;he12;he13;he14;he15;he16;he17;he18;he19;he20;he21;he22;he23;n_production_only_meters;has_production_only_meter
104479_current;104479;104479;8962;cross_sectional;1;363;2025-08-01;2026-07-31;1;0;1;0;0;14.889;58.974;0.5427;0.0047;0.0044;0.0041;0.0039;0.0039;0.0041;0.0063;0.0083;0.0132;0.3343;1.2798;2.0684;2.4551;2.566;2.3112;1.8446;1.2041;0.6004;0.1319;0.014;0.0075;0.007;0.0062;0.0053;0;0
104987_current;104987;104987;4322;cross_sectional;1;365;2025-08-01;2026-07-31;1;0;1;0;0;21.619;76.182;0.5918;0.004;0.0038;0.0037;0.0036;0.004;0.003;0.0059;0.0132;0.0644;0.6044;1.7762;2.7909;3.2931;3.5242;3.3707;2.7954;1.8482;1.0571;0.3829;0.038;0.0152;0.0073;0.005;0.0043;0;0
106914_current;106914;106914;5608;cross_sectional;1;363;2025-08-01;2026-07-31;1;0;1;0;0;18.562;67.899;0.6033;0.004;0.0037;0.0034;0.0031;0.0032;0.0032;0.0043;0.006;0.0509;0.3978;1.1527;2.0837;2.9014;3.1761;3.063;2.5047;1.7996;0.9227;0.4003;0.0569;0.0067;0.0052;0.0046;0.0041;0;0
107868_current;107868;107868;5322;cross_sectional;1;107;2026-04-16;2026-07-31;1;0;1;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0
108398_current;108398;108398;5332;cross_sectional;1;365;2025-08-01;2026-07-31;1;0;0;0;0;8.707;37.131;0.6959;0.038;0.0412;0.0416;0.0433;0.0432;0.0445;0.0447;0.0613;0.2594;0.4956;0.7974;0.9763;1.1484;1.2312;1.0894;0.85;0.6207;0.4338;0.2469;0.0603;0.041;0.0348;0.0314;0.0327;0;0
108801_current;108801;108801;5322;cross_sectional;1;72;2026-05-21;2026-07-31;1;1;1;0;0;39.353;60.434;0.9861;0.0031;0.0029;0.0031;0.0029;0.0052;0.0188;0.017;0.0076;0.0062;0.038;1.6007;5.2259;6.1754;6.199;5.7933;4.9663;4.2846;3.0281;1.5922;0.3692;0.0036;0.0034;0.0032;0.0029;1;1
108808_current;108808;108808;5322;cross_sectional;0;59;2026-06-03;2026-07-31;1;0;1;0;0;57.474;76.823;1.0;0.0109;0.0113;0.0116;0.0116;0.0121;0.0177;0.024;0.1839;2.6527;5.6259;6.8867;7.3735;7.2814;7.1344;6.8435;5.9969;4.1854;1.9663;0.9914;0.2022;0.0142;0.013;0.012;0.0118;1;1
109103_current;109103;109103;5322;cross_sectional;0;92;2026-05-01;2026-07-31;0;1;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0
109520_current;109520;109520;4313;cross_sectional;0;288;2025-10-17;2026-07-31;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0
112352_current;112352;112352;5105;cross_sectional;0;365;2025-08-01;2026-07-31;1;0;1;1;0;20.419;79.104;0.6137;0.0014;0.0013;0.0012;0.0012;0.001;0.006;0.2329;0.7555;1.0718;1.586;2.0331;2.3855;2.4823;2.2195;2.4948;2.1835;1.6321;0.9857;0.3185;0.0141;0.0035;0.0033;0.0025;0.0018;0;0
113592_current;113592;113592;5106;cross_sectional;1;365;2025-08-01;2026-07-31;1;0;1;1;0;52.835;152.753;0.8247;0.0129;0.0111;0.0096;0.0079;0.0075;0.0211;0.0868;0.7403;1.754;3.3889;5.1765;6.4976;7.4366;7.6712;6.8808;5.5239;3.798;2.3577;1.2075;0.1593;0.0286;0.0223;0.019;0.0154;0;0
115673_current;115673;115673;4317;cross_sectional;0;361;2025-08-01;2026-07-31;0;1;0;0;0;9.296;21.536;0.8532;0.0;0.0;0.0;0.0;0.0;0.0;0.0022;0.0151;0.0451;0.1329;0.4441;0.8442;1.1889;1.4345;1.5578;1.4157;1.0683;0.7517;0.3575;0.0368;0.0008;0.0;0.0;0.0;1;1
117726_current;117726;117726;4310;cross_sectional;0;365;2025-08-01;2026-07-31;1;0;1;0;0;20.12;60.753;0.874;0.0345;0.031;0.0241;0.0212;0.0168;0.0199;0.1035;0.298;0.568;1.1042;1.9743;2.6705;3.1248;3.0715;2.6494;1.9856;1.269;0.6869;0.2906;0.0654;0.029;0.0249;0.0231;0.0337;0;0
118160_current;118160;118160;5607;cross_sectional;0;143;2026-03-11;2026-07-31;1;0;1;0;0;37.584;65.741;0.9441;0.5537;0.5002;0.4253;0.3929;0.3549;0.2885;0.0918;0.2247;0.7493;0.9066;0.8471;1.5661;4.1772;5.4409;5.1823;4.8691;3.8724;2.6957;1.4219;0.6575;0.615;0.5892;0.5909;0.5706;0;0
118168_current;118168;118168;5607;cross_sectional;1;331;2025-09-02;2026-07-31;1;0;1;1;0;24.043;100.217;0.568;0.006;0.0051;0.005;0.0041;0.0042;0.0109;0.0287;0.2052;0.9831;1.7959;2.5826;2.7204;3.3658;3.4817;3.0979;2.3031;1.6631;1.1575;0.4972;0.0849;0.012;0.01;0.0098;0.0088;0;0
118180_current;118180;118180;5607;cross_sectional;1;363;2025-08-01;2026-07-31;1;1;1;1;0;45.302;143.311;0.7273;0.0031;0.0029;0.0026;0.0023;0.0021;0.0025;0.0076;0.6416;1.8752;3.4639;4.8973;5.7748;6.2024;5.9926;5.3082;4.527;3.329;2.1105;0.946;0.194;0.0053;0.0043;0.0037;0.0032;0;0
118265_current;118265;118265;5607;cross_sectional;1;363;2025-08-01;2026-07-31;1;0;1;0;0;19.376;64.365;0.6997;0.0039;0.004;0.0027;0.0011;0.0005;0.0005;0.0188;0.0443;0.1736;0.9801;1.6176;2.5847;3.192;3.349;2.8954;2.1829;1.3807;0.6414;0.2022;0.0404;0.0257;0.0153;0.0115;0.0075;0;0
