feature,coefficient,absolute_coefficient
customer_max_timed_mean_plateau_cv,0.07599140117184024,0.07599140117184024
customer_std_timed_mean_plateau_cv,0.07484784702053188,0.07484784702053188
customer_top3_timed_mean_plateau_cv,0.057849955811491195,0.057849955811491195
customer_std_timed_mean_level_kw,0.0469492428476788,0.0469492428476788
customer_max_timed_median_rise_kw,0.043236632783197046,0.043236632783197046
customer_std_timed_median_rise_kw,0.04129938503589908,0.04129938503589908
customer_top3_timed_start_sin,0.04028439656310031,0.04028439656310031
customer_max_timed_start_cos,-0.04004273371096019,0.04004273371096019
customer_std_timed_max_rise_kw,0.039941926825353205,0.039941926825353205
customer_top3_timed_median_rise_kw,0.03958624967380948,0.03958624967380948
customer_max_timed_max_rise_kw,0.032934514113862966,0.032934514113862966
customer_std_timed_start_sin,0.032415607144812786,0.032415607144812786
customer_max_timed_mean_level_kw,0.03227650231639365,0.03227650231639365
customer_max_timed_cross_midnight_count,-0.032229709296065175,0.032229709296065175
customer_max_timed_start_sin,0.03189278401057857,0.03189278401057857
customer_std_timed_cross_midnight_count,-0.02917389921567063,0.02917389921567063
customer_top3_timed_max_rise_kw,0.02755221051381,0.02755221051381
customer_mean_timed_median_rise_kw,0.026709026356803955,0.026709026356803955
customer_mean_timed_start_cos,-0.023231527163128204,0.023231527163128204
customer_top3_timed_cross_midnight_count,-0.023070842051529906,0.023070842051529906
customer_std_timed_start_cos,-0.022124928552008934,0.022124928552008934
customer_mean_timed_start_sin,0.021043515299679565,0.021043515299679565
customer_max_timed_paired_count,-0.021010357931194205,0.021010357931194205
customer_top3_timed_start_cos,-0.020266791636875836,0.020266791636875836
customer_max_timed_sustained_count,-0.01958419565637791,0.01958419565637791
customer_top3_timed_active_days,0.019238224053200102,0.019238224053200102
customer_std_timed_paired_count,-0.017912180243282082,0.017912180243282082
customer_std_timed_start_concentration,0.017887776700597588,0.017887776700597588
customer_top3_timed_mean_level_kw,0.017656766787170295,0.017656766787170295
customer_mean_timed_mean_plateau_cv,0.01651031244209134,0.01651031244209134
customer_mean_timed_paired_count,-0.016389642988262045,0.016389642988262045
customer_mean_timed_sustained_count,-0.016023341312735088,0.016023341312735088
customer_std_timed_ramp_count,-0.015658864740001086,0.015658864740001086
customer_mean_timed_cross_midnight_count,-0.015319409533433597,0.015319409533433597
customer_top3_timed_sustained_count,-0.014224993424985512,0.014224993424985512
customer_top3_timed_paired_count,-0.014207136421322925,0.014207136421322925
customer_top3_timed_start_concentration,0.013175142169949047,0.013175142169949047
customer_mean_timed_active_days,0.013067429989348534,0.013067429989348534
customer_max_timed_start_concentration,0.01279549182418137,0.01279549182418137
customer_max_timed_ramp_count,-0.012709812264872193,0.012709812264872193
customer_std_timed_active_days,0.012487995865211378,0.012487995865211378
customer_std_timed_sustained_count,-0.01213468013921508,0.01213468013921508
customer_top3_timed_mean_edge_symmetry,0.008833440879887588,0.008833440879887588
customer_mean_timed_all_ramp_count,0.007295398032016479,0.007295398032016479
customer_mean_timed_mean_edge_symmetry,0.007250495956198353,0.007250495956198353
customer_mean_timed_max_rise_kw,0.007082043290389899,0.007082043290389899
customer_top3_timed_all_ramp_count,0.006208364333813392,0.006208364333813392
customer_std_timed_all_ramp_count,0.005227693759281791,0.005227693759281791
customer_max_timed_all_ramp_count,-0.004650131848279544,0.004650131848279544
customer_top3_timed_ramp_count,-0.0038247912013911643,0.0038247912013911643
customer_std_timed_mean_edge_symmetry,-0.003664921303017887,0.003664921303017887
customer_max_timed_active_days,-0.00290684745403159,0.00290684745403159
customer_mean_timed_start_concentration,-0.002885473988304478,0.002885473988304478
customer_mean_timed_ramp_count,0.002379886403305972,0.002379886403305972
customer_mean_timed_mean_level_kw,-0.0018088718353040099,0.0018088718353040099
customer_max_timed_mean_edge_symmetry,0.00021775855692484356,0.00021775855692484356
