feature,coefficient,absolute_coefficient
customer_std_dist_level_entropy,0.04461750887638152,0.04461750887638152
customer_std_dist_window_longest_high_run_hours,0.0419549667533218,0.0419549667533218
customer_std_dist_level_mode_count,0.041941583793123904,0.041941583793123904
customer_std_dist_window_excess_fraction,0.0412509719915847,0.0412509719915847
customer_std_dist_window_high_fraction,0.03990895252351185,0.03990895252351185
customer_top3_dist_window_longest_high_run_hours,0.03607170844511001,0.03607170844511001
customer_top3_dist_peak_time_sin,0.031062865080104664,0.031062865080104664
customer_std_dist_level_concentration,0.030512720001118133,0.030512720001118133
customer_max_dist_level_concentration,0.030296990123804768,0.030296990123804768
customer_max_dist_level_entropy,0.029412242254438434,0.029412242254438434
customer_top3_dist_level_concentration,0.028932397450250506,0.028932397450250506
customer_max_dist_window_longest_high_run_hours,0.028210312058431896,0.028210312058431896
customer_max_dist_peak_time_sin,0.028157771453480973,0.028157771453480973
customer_std_dist_peak_time_sin,0.026364779476660962,0.026364779476660962
customer_std_multi_neg_q95_120m,-0.02636064544629426,0.02636064544629426
customer_std_multi_pos_q95_120m,-0.025445352291592144,0.025445352291592144
customer_top3_dist_window_excess_fraction,0.02447692710289762,0.02447692710289762
customer_top3_dist_window_high_fraction,0.02437307931616221,0.02437307931616221
customer_max_dist_window_high_fraction,0.022557482381345546,0.022557482381345546
customer_std_dist_peak_time_concentration,0.022139190826285772,0.022139190826285772
customer_max_dist_level_mode_count,0.02164330333907899,0.02164330333907899
customer_mean_dist_peak_time_sin,0.020774430447120525,0.020774430447120525
customer_std_multi_abs_mean_30m,-0.020250865386764086,0.020250865386764086
customer_top3_dist_level_entropy,0.020033605479422116,0.020033605479422116
customer_mean_dist_window_longest_high_run_hours,0.01987676300852509,0.01987676300852509
customer_std_multi_neg_q95_30m,-0.019685534436093843,0.019685534436093843
customer_mean_multi_neg_q95_30m,0.019369021463458376,0.019369021463458376
customer_std_dist_all_excess_kwh,-0.018962482262463116,0.018962482262463116
customer_mean_dist_level_concentration,0.018582025778520424,0.018582025778520424
customer_std_multi_neg_q95_60m,-0.018454423164304318,0.018454423164304318
customer_mean_dist_tail_area_kwh,0.017387557246396984,0.017387557246396984
customer_mean_multi_neg_q95_120m,0.016607177985711534,0.016607177985711534
customer_std_multi_pos_q95_60m,-0.01647922896367345,0.01647922896367345
customer_mean_multi_neg_q95_60m,0.01599959259257491,0.01599959259257491
customer_top3_dist_level_mode_count,0.015887575426909467,0.015887575426909467
customer_top3_dist_peak_time_concentration,0.015797204448581816,0.015797204448581816
customer_std_multi_abs_mean_60m,-0.015731410789509022,0.015731410789509022
customer_std_multi_pos_q95_30m,-0.015640792007809053,0.015640792007809053
customer_mean_multi_pos_q95_30m,0.01547382516509005,0.01547382516509005
customer_max_dist_window_excess_fraction,0.01514192126820051,0.01514192126820051
customer_max_dist_active_days,-0.015107469558829396,0.015107469558829396
customer_std_dist_all_high_hours,-0.014465185552640897,0.014465185552640897
customer_max_dist_window_excess_kwh,-0.014277760124921348,0.014277760124921348
customer_std_dist_window_excess_kwh,-0.014254855287951423,0.014254855287951423
customer_mean_dist_level_entropy,0.014195486248483808,0.014195486248483808
customer_mean_dist_active_days,-0.013950281172311757,0.013950281172311757
customer_max_dist_midday_negative_share,0.013922368920042519,0.013922368920042519
customer_mean_multi_pos_q95_15m,0.01374136192720822,0.01374136192720822
customer_std_multi_pos_q95_15m,-0.013674709623509241,0.013674709623509241
customer_mean_dist_midday_negative_share,0.013304392611639678,0.013304392611639678
customer_mean_multi_neg_q95_15m,0.013298259282565197,0.013298259282565197
customer_std_multi_abs_mean_15m,-0.013065911788984893,0.013065911788984893
customer_max_dist_all_excess_kwh,-0.012056135070425567,0.012056135070425567
