feature,coefficient,absolute_coefficient
customer_std_timed_mean_plateau_cv,0.07003924610028875,0.07003924610028875
customer_max_timed_mean_plateau_cv,0.06993777676923162,0.06993777676923162
customer_top3_timed_mean_plateau_cv,0.05283331281576262,0.05283331281576262
customer_max_timed_start_cos,-0.046300085246038805,0.046300085246038805
customer_std_stat_q99,0.04211553154849201,0.04211553154849201
customer_max_timed_cross_midnight_count,-0.03975195452557186,0.03975195452557186
customer_std_timed_cross_midnight_count,-0.03634826061354137,0.03634826061354137
customer_std_dist_window_longest_high_run_hours,0.0352544707173388,0.0352544707173388
customer_std_dist_level_mode_count,0.0346727082467861,0.0346727082467861
customer_top3_timed_start_sin,0.033992065215485374,0.033992065215485374
customer_std_dist_window_excess_fraction,0.03235604449183267,0.03235604449183267
customer_std_dist_window_high_fraction,0.03223000768973344,0.03223000768973344
customer_std_dist_level_entropy,0.03206057084438299,0.03206057084438299
customer_std_timed_start_sin,0.03165339754860636,0.03165339754860636
customer_mean_stat_ramp50,-0.03115190122724501,0.03115190122724501
customer_top3_dist_window_longest_high_run_hours,0.030938854184628366,0.030938854184628366
customer_top3_timed_cross_midnight_count,-0.030442656715647002,0.030442656715647002
customer_mean_stat_hours_above_7,0.02869250131606061,0.02869250131606061
customer_std_multi_pos_q95_120m,-0.02857915721261167,0.02857915721261167
customer_std_dist_level_concentration,0.028346048083936988,0.028346048083936988
customer_std_timed_mean_level_kw,0.02819685783650987,0.02819685783650987
customer_max_dist_level_concentration,0.028150181467598283,0.028150181467598283
customer_mean_stat_hours_above_11,-0.027929929130243076,0.027929929130243076
customer_std_timed_start_cos,-0.027885541287711164,0.027885541287711164
customer_top3_dist_level_concentration,0.027834462239932113,0.027834462239932113
customer_mean_timed_start_cos,-0.02772668302075293,0.02772668302075293
customer_top3_timed_start_cos,-0.027351493861659866,0.027351493861659866
customer_top3_stat_ramp50,-0.02713818587012389,0.02713818587012389
customer_max_timed_start_sin,0.02690989111965789,0.02690989111965789
customer_max_dist_window_longest_high_run_hours,0.0265468497844437,0.0265468497844437
customer_std_multi_neg_q95_120m,-0.026440082892648983,0.026440082892648983
customer_max_timed_paired_count,-0.02523225327707207,0.02523225327707207
customer_top3_timed_median_rise_kw,0.024245338594170836,0.024245338594170836
customer_max_stat_ramp50,-0.024229585780303046,0.024229585780303046
customer_max_dist_level_entropy,0.023853341975982757,0.023853341975982757
customer_std_timed_paired_count,-0.02300240440757603,0.02300240440757603
customer_std_timed_max_rise_kw,0.022376536610948166,0.022376536610948166
customer_mean_multi_neg_q95_30m,0.022133833933698856,0.022133833933698856
customer_mean_timed_paired_count,-0.021588084899497564,0.021588084899497564
customer_top3_stat_hours_above_11,-0.021573368885031745,0.021573368885031745
customer_top3_dist_window_high_fraction,0.021571943461961035,0.021571943461961035
customer_top3_dist_peak_time_sin,0.021322228877242843,0.021322228877242843
customer_max_dist_level_mode_count,0.02116235700738326,0.02116235700738326
customer_mean_timed_cross_midnight_count,-0.021131731592395033,0.021131731592395033
