feature,gain,split
customer_std_multi_energy_120m,178.87941980361938,23
customer_max_timed_start_concentration,113.01656985282898,23
customer_std_dist_window_high_hours,83.92801022529602,12
customer_std_dist_peak_time_concentration,71.92698931694031,16
customer_top3_timed_mean_plateau_cv,67.6690001487732,22
customer_max_timed_start_cos,40.595319986343384,12
customer_mean_multi_neg_q95_120m,34.072409868240356,11
customer_max_timed_start_sin,32.42658996582031,7
customer_std_dist_tail_mean_kw,27.105649948120117,6
customer_max_dist_peak_time_cos,23.482160091400146,6
customer_std_stat_q5,23.388490200042725,6
customer_std_dist_window_longest_high_run_hours,22.027039766311646,6
customer_max_dist_peak_time_concentration,21.741349935531616,8
customer_std_multi_abs_mean_15m,21.248291015625,5
customer_std_dist_active_days,20.367090225219727,3
customer_top3_timed_max_rise_kw,20.201849937438965,4
customer_std_dist_peak_time_sin,19.829269886016846,6
customer_std_dist_window_high_fraction,18.97473955154419,3
customer_std_multi_neg_q95_120m,18.49493980407715,6
customer_std_stat_q75,17.5519802570343,4
customer_top3_dist_level_concentration,17.45261001586914,2
customer_max_stat_mean,17.225290298461914,3
customer_std_stat_q99,16.876330137252808,4
customer_std_timed_mean_plateau_cv,16.79909038543701,4
customer_top3_multi_energy_120m,16.336989879608154,5
customer_std_timed_max_rise_kw,16.23296022415161,3
customer_mean_multi_pos_q95_60m,15.317620038986206,4
customer_std_multi_pos_q95_120m,15.005229949951172,4
customer_top3_dist_peak_time_cos,13.833390235900879,4
customer_mean_stat_night_kwh,12.67182993888855,3
customer_mean_stat_q5,11.564579963684082,4
customer_std_timed_start_concentration,8.486350059509277,2
customer_mean_dist_window_high_hours,7.84473991394043,1
customer_mean_timed_mean_plateau_cv,5.97337007522583,2
customer_std_stat_day_kwh,4.6185197830200195,1
customer_top3_timed_median_rise_kw,4.579929828643799,1
customer_std_stat_weekend_daily_kwh,4.305180072784424,1
customer_std_timed_mean_level_kw,4.058410167694092,1
customer_std_stat_weekday_daily_kwh,3.6014699935913086,1
customer_top3_stat_range,3.2728800773620605,1
customer_max_stat_q25,0.0,0
customer_top3_stat_q25,0.0,0
customer_top3_stat_q5,0.0,0
customer_max_stat_q5,0.0,0
customer_max_stat_q50,0.0,0
customer_top3_stat_q50,0.0,0
customer_std_stat_q50,0.0,0
customer_mean_stat_q75,0.0,0
customer_max_stat_q75,0.0,0
customer_top3_stat_q75,0.0,0
customer_std_stat_q25,0.0,0
customer_mean_stat_q25,0.0,0
customer_max_stat_ramp99,0.0,0
customer_top3_stat_ramp99,0.0,0
customer_std_stat_ramp99,0.0,0
customer_max_stat_night_kwh,0.0,0
customer_top3_stat_night_kwh,0.0,0
customer_std_stat_night_kwh,0.0,0
customer_mean_stat_ramp50,0.0,0
customer_max_stat_ramp50,0.0,0
customer_top3_stat_ramp50,0.0,0
