group_id,has_EV,split
104479,0,validation
104987,0,development
106914,0,validation
107868,0,development
108398,0,validation
108801,0,development
108808,0,development
109103,0,test
109520,0,test
112352,1,development
113592,1,development
115673,0,development
117726,0,development
118160,0,development
118168,1,test
118180,1,development
118265,0,development
118609,0,test
118639,1,test
120135,1,development
120137,1,development
122506,0,development
123159,0,development
126001,0,development
127293,0,development
127600,0,test
129225,0,test
129447,0,development
129462,1,test
130747,0,test
131436,0,test
131858,0,validation
132315,0,test
132812,1,development
133692,0,test
133710,0,test
134065,1,development
134586,0,development
135287,0,test
135868,0,validation
136557,0,development
137763,0,development
137898,1,development
142012,0,development
142682,0,validation
143397,0,test
144863,0,development
145326,1,development
146018,1,validation
146807,0,validation
149164,0,development
150401,0,development
150951,0,test
150964,0,development
151081,0,development
151970,0,development
152528,1,validation
152557,0,test
153093,1,development
153783,1,validation
155497,0,development
156287,0,development
158544,0,development
161857,1,validation
162827,0,development
162973,0,development
163954,0,development
164222,0,validation
164237,0,validation
164491,0,development
165171,1,development
165183,0,test
165295,0,development
165585,0,development
166831,1,validation
171122,0,development
171901,0,development
174453,0,validation
175022,0,validation
175213,0,development
175356,0,validation
175514,0,test
175560,0,test
176306,0,test
177379,0,development
179215,0,development
184486,0,development
185674,0,development
186396,1,test
186748,0,test
187213,0,test
187258,1,development
190040 / 750463,0,development
191828,0,development
192082,1,development
194098,0,development
194265,0,development
194423,0,development
195088,0,validation
197257,1,test
198827,0,development
201264,0,development
201391,0,development
215480,1,development
215929,0,development
222824,0,development
223900,0,validation
227509,0,development
227913,0,test
228831,0,development
228837,0,development
241341,0,validation
552884,1,test
553509,1,test
555287,1,development
556799,0,test
556837,0,development
571965,1,validation
582164,0,validation
585660,0,development
585704,0,test
591571,1,development
593829,0,test
594379,0,test
595687,0,development
688436,0,validation
689836,0,development
690299,0,development
691339,0,development
692112,0,development
692126,0,test
692320,0,development
692466,0,development
692550,0,development
692590,0,development
692712,0,development
692971,0,development
693106,0,validation
694066,1,test
694569,0,validation
694753,1,validation
695851,0,development
696780,1,development
696935,0,test
697434,0,development
697435,1,validation
698970,0,development
699307,0,development
700296,0,test
700623,0,validation
700810,0,development
701696,0,development
702016,0,validation
702339,0,validation
703035,0,validation
703359,0,development
703415,0,test
704806,0,development
705057,0,development
705536,1,development
706277,0,development
706335,0,development
706538,0,validation
707268,1,test
707738,0,development
708813,0,test
708823,0,validation
709084,0,development
709341,1,test
709624,0,development
710494,0,validation
710570,0,development
710897,0,development
711145,1,development
711259,0,development
711464,0,development
712273,0,test
712641,0,development
713405,1,validation
713578,0,test
713894,1,development
714489,0,development
714588,1,development
714621,0,development
714976,0,validation
715586,0,development
716143,0,development
716671,0,development
716735,0,development
716968,0,validation
717438,0,development
717797,0,development
717974,1,test
718040,0,development
718645,0,validation
718990,1,development
719301,0,development
719912,0,test
720022,0,validation
720199,0,development
720260,0,development
720480,1,development
720808,0,development
720967,0,validation
721906,0,development
722764,0,test
722853,1,development
722929,0,test
722955,0,development
723437,0,development
723468,1,development
723701,1,validation
723937,0,development
723966,0,test
724118,0,development
724334,0,development
724881,0,development
725159,0,validation
726547,0,development
727027,0,development
727135,0,development
727137,0,validation
727423,0,development
727903,0,test
729113,0,validation
730631,0,validation
731486,0,development
731568,0,validation
731681,0,development
732971,0,validation
733114,0,development
734306,1,test
734481,0,test
734540,0,development
734850,1,test
735579,0,development
735831,0,test
736207,0,test
736402,0,development
737347,0,development
738516,0,development
738591,0,validation
738793,0,development
739178,0,development
739616,1,development
740230,1,development
740351,0,test
740532,0,development
740863,0,validation
741214,0,validation
741254,0,test
741910,0,development
742207,0,test
742993,0,development
743047,0,development
743335,0,validation
744851,0,development
744897,0,development
745415,0,development
745424,0,development
745464,0,validation
745959,1,development
745999,0,validation
746421,0,development
746764,0,development
747439,1,development
748404,1,validation
748606,0,development
748977,1,development
749578,0,development
750388,1,development
750496,1,validation
751215,0,development
751403,0,development
751454,1,development
751780,0,development
751926,0,validation
752093,0,development
757719,0,development
759548,0,test
764446,0,development
770736,0,development
776146,0,test
778612,0,validation
785007,1,development
785360,1,development
785531,0,test
785596,1,test
785642,0,validation
790904,1,development
805535,0,development
805537,0,validation
806207,1,test
809909,0,development
811757,0,development
812506,0,development
812691,1,development
813191,0,development
821251,1,development
821253,0,development
821258,1,development
821264,0,test
821268,1,development
821784,0,development
829143,0,development
847175,0,development
851473,1,development
859760,1,validation
863162,0,development
865899,0,development
866821,0,development
867344,0,test
867869,1,development
868792,0,development
870640,0,development
872270,0,validation
874661,0,development
878287,0,validation
878846,0,development
881402,0,development
884000,0,validation
885322,0,development
885769,1,validation
890111,0,test
891106,0,development
893520,0,development
896125,0,development
896592,0,validation
897353,0,validation
897928,0,test
898693,1,development
903068,1,development
906291,0,validation
906991,0,test
909265,0,test
