mp_id,imp_kwh,imp_days,imp_night_kwh,exp_kwh,exp_days,exp_midday_days,best_summer_days,best_summer_midday_days,peak_slot_med
100588,7780.499053955078,1270,1086.4210014343262,0.0,1270,0,0,0,
100589,7434.935012817383,1270,366.28499960899353,0.0,1270,0,0,0,
100590,183.86001205444336,509,25.885999724268913,0.0,509,0,0,0,
100600,4251.647960662842,1270,158.06699991226196,0.0,1270,0,0,0,
100602,16084.127075195312,1270,2281.1890144348145,0.0,1270,0,0,0,
100606,1984.368989944458,1270,105.02199995517731,0.0,1270,0,0,0,
100607,2052.9289779663086,1270,118.56800031661987,0.0,1270,0,0,0,
100609,3987.28999710083,1270,153.87500035762787,0.0,1270,0,0,0,
100611,3347.25199508667,1270,140.96800065040588,0.0,1270,0,0,0,
100614,5287.771041870117,1270,193.31100153923035,0.0,1270,0,0,0,
100617,9285.960960388184,1270,582.233003616333,0.0,1270,0,0,0,
100620,13850.09602355957,1270,1026.9999923706055,0.0,1270,0,0,0,
100621,1719.2690181732178,1270,137.7379997894168,0.0,1270,0,0,0,
100623,5522.250999450684,1270,369.4769997596741,0.0,1270,0,0,0,
100624,3465.895004272461,1270,454.09100914001465,0.0,1270,0,0,0,
100625,2763.5059967041016,1270,184.80599999427795,0.0,1270,0,0,0,
100632,1839.9519634246826,1270,162.4600007534027,0.0,1270,0,0,0,
100633,3989.363082885742,1270,232.5380003452301,0.0,1270,0,0,0,
100634,2789.465021133423,1270,192.8490035533905,0.0,1270,0,0,0,
100637,3207.4570055007935,1270,211.79600390791893,0.0,1270,0,0,0,
100654,4116.440981864929,1270,165.378000497818,0.0,1270,0,0,0,
100662,4051.8640060424805,874,309.7829999923706,0.0,874,0,0,0,
100664,9646.494064331055,1270,756.5870046615601,0.0,1270,0,0,0,
100667,11254.720048427582,1239,1813.612992465496,22703.01830148697,1239,596,123,119,49.0
100752,6329.278671264648,1270,790.6579656600952,0.0,1270,0,0,0,
101094,8602.487884521484,752,872.0250015258789,0.0,752,0,0,0,
101095,6685.875965118408,1270,787.1639926433563,0.0,1270,0,0,0,
101096,2653.3119945526123,1270,280.2249994277954,0.0,1270,0,0,0,
10185,1314.8989849090576,1270,64.8969988822937,0.0,1270,0,0,0,
10187,1274.9340019226074,1270,95.01900294423103,0.0,1270,0,0,0,
10188,2126.880045890808,1270,170.60700476169586,0.0,1270,0,0,0,
10189,1770.1539869308472,1270,139.06499862670898,0.0,1270,0,0,0,
10190,1743.3949928283691,1270,57.41700196266174,0.0,1270,0,0,0,
10191,1625.1379799842834,1270,106.88699722290039,0.0,1270,0,0,0,
10192,2198.5560340881348,1270,188.02800250053406,0.0,1270,0,0,0,
10194,914.6660079956055,1270,76.10400092601776,0.0,1270,0,0,0,
10195,1394.2670269012451,1270,72.3089988231659,0.0,1270,0,0,0,
10196,91.91899985074997,1270,9.61700040102005,0.0,1270,0,0,0,
10205,1480.6830139160156,1270,81.97900032997131,0.0,1270,0,0,0,
10207,1822.1509971618652,1270,81.13700151443481,0.0,1270,0,0,0,
10212,10570.381958007812,1270,635.0800094604492,0.0,1270,0,0,0,
10213,1601.0999900698662,1027,315.51799869537354,0.0,1027,0,0,0,
10214,761.7310066223145,1270,37.78800141811371,0.0,1270,0,0,0,
10217,1098.9379844665527,1270,77.35600066184998,0.0,1270,0,0,0,
10219,213.52900505065918,1270,8.396000161767006,0.0,1270,0,0,0,
10229,664.2540055513382,1270,73.1870002746582,0.0,1270,0,0,0,
10246,62.49100077152252,1270,3.1309999814257026,0.0,1270,0,0,0,
10325,26506.84307861328,1239,9320.880020141602,28517.16891860962,1239,1132,123,123,52.0
103556,22257.708877563477,1239,3190.6959838867188,28397.40301513672,1239,635,123,123,50.0
103557,10792.654964447021,1239,1571.2430019378662,31663.75718688965,1239,660,123,123,50.0
10406,2344.863986968994,1270,89.97799795866013,0.0,1270,0,0,0,
10412,0.07400000235065818,1239,0.0,969.1149816513062,1239,97,123,57,46.0
10426,29.650001525878906,1239,14.944999694824219,7.201000213623047,1239,1,0,0,46.0
10428,426.0830008983612,1239,59.56500196456909,1858.0129848122597,1239,73,123,40,48.0
104514,229493.9237060547,1239,35380.166900634766,67641.35085892677,1239,521,123,117,49.25
10774,4553.988929748535,1270,296.5239996910095,0.0,1270,0,0,0,
10783,1341.9810199737549,1270,166.47400426864624,0.0,1270,0,0,0,
10784,2107.7429962158203,1270,242.6639986038208,0.0,1270,0,0,0,
10836,2341.8510208129883,1270,100.26499938964844,0.0,1270,0,0,0,
10840,4211.178024291992,1270,482.2100119590759,0.0,1270,0,0,0,
