rule;threshold;auc;pr_auc;precision;recall;f1;mcc;flag_rate;TP;FP;FN;TN;note
PV-A  meter exported at all;1.0;0.7723295023627559;0.9108608893830447;0.9184397163120568;0.9217081850533808;0.9200710479573713;0.5482044874444377;0.8245614035087719;259;23;22;38;no tuned constants
PV-B  midday/night draw ratio;;0.7997783093168427;0.9355098191376495;;;;;;-1;-1;-1;-1;net-load only, threshold-free
EV    max 15-min ramp >= 9 kW;9.0;0.6864711934156378;0.3191403563306807;0.3951612903225806;0.6805555555555556;0.5;0.341565928072294;0.36257309941520466;49;75;23;195;HEADLINE - threshold selected out-of-fold
EV    max 15-min ramp >= 5.8 kW;5.8;0.6864711934156378;0.3191403563306807;0.2675438596491228;0.8472222222222222;0.4066666666666667;0.19778870132131;0.6666666666666666;61;167;11;103;unfitted - 5.8 kW is the spec's Large-L2 minimum
EV    ramp-day rate, threshold-free;;0.687988683127572;0.2984764900594847;;;;;;-1;-1;-1;-1;robust form: share of days with a >= 9 kW ramp
EV-cmp L1 as specified;3.3;0.5319958847736626;0.2146842771006861;0.18181818181818182;0.027777777777777776;0.04819277108433735;-0.012837051565159721;0.03216374269005848;2;9;70;261;comparison
EV-cmp L2_small as specified;3.3;0.5604938271604938;0.22235224612860216;0.24060150375939848;0.4444444444444444;0.3121951219512195;0.05884898863364997;0.3888888888888889;32;101;40;169;comparison
EV-cmp L2_large as specified;3.3;0.6882716049382716;0.32518981098549693;0.33093525179856115;0.6388888888888888;0.43601895734597157;0.2443971154292204;0.4064327485380117;46;93;26;177;comparison
EV-cmp  all three classes;3.3;0.6530092592592592;0.2967517725094825;0.29523809523809524;0.8611111111111112;0.4397163120567376;0.2620863859289026;0.6140350877192983;62;148;10;122;comparison
EV-cmp  >=5.8kW for >=2h;3.3;0.7270318930041151;0.3305538298930213;0.41975308641975306;0.4722222222222222;0.4444444444444444;0.2859021908857291;0.23684210526315788;34;47;38;223;comparison, duration tuned on this set
EV-ref  peak power >= 6 kW;6.0;0.689377572016461;0.3136526060120337;0.23103448275862068;0.9305555555555556;0.3701657458563536;0.11879609022255835;0.847953216374269;67;223;5;47;trivial reference
BAT-A  export after noon, Mar/Apr/Sep/Oct;0.5;0.854757085020243;0.9454831518810153;0.8900523560209425;0.8947368421052632;0.8923884514435696;0.4943806846705158;0.7892561983471075;170;21;20;31;"within PV; no fitted constant"
BAT-A' export after noon, Mar-Oct;0.5;0.8027966101694914;0.9204796594817252;0.8914285714285715;0.78;0.832;0.41031337066551055;0.6756756756756757;156;19;44;40;"within PV; zero-selection variant"
BAT-B  evening/night grid draw;;0.7033410138248848;0.8949944596830337;;;;;;-1;-1;-1;-1;"within PV; net-load only, threshold-free"
BAT-ref has_PV used as the predictor;1.0;0.6997126987167209;0.7674622879123384;0.7722419928825622;0.9559471365638766;0.8543307086614174;0.492923413495612;0.8216374269005848;217;64;10;51;"whole set; the trap BAT-A/B are measured against"
