sample_id;group_id;gp_nr;sample_type;has_PV;has_EV;has_Batterie;has_Waermepumpe;n_days;pv_export_any;pv_export_days_frac;pv_export_kwh_d;pv_midday_night_ratio;n_sun_days;ev_ramp_max;ev_ramp_days100;ev_ramp_spec_days100;ev_L1_spec_rate100;ev_L1_tuned_rate100;ev_L2_small_spec_rate100;ev_L2_small_tuned_rate100;ev_L2_large_spec_rate100;ev_L2_large_tuned_rate100;ev_spec_rate100;ev_spec_daysfrac;ev_tuned_rate100;ev_mode2_nights100;ev_mode2_med_hours;ev_mode2_energy_cv;bat_pm_share_shoulder;bat_pm_share_sun;bat_eve_night
104479_current;104479;104479;cross_sectional;1;0;1;0;363;1;0.5674931129476584;14.249652892561983;0.3705474210616196;245;10.292;1.1019283746556474;3.3057851239669422;0.27548209366391185;0.27548209366391185;10.46831955922865;2.7548209366391183;4.958677685950414;2.479338842975207;15.702479338842975;0.1322314049586777;5.234159779614325;49.035812672176306;1.75;0.7570539305080678;0.6603377237536282;0.5821760837521984;0.8035310233221856
104987_current;104987;104987;cross_sectional;1;0;1;0;365;1;0.9726027397260274;21.33744109589041;0.1073649475675894;245;7.004;0.0;0.547945205479452;0.273972602739726;0.273972602739726;6.575342465753424;0.273972602739726;0.547945205479452;0.0;7.397260273972603;0.07397260273972603;0.273972602739726;40.0;1.5;0.5410204317453379;0.6795063452392788;0.6019998165234717;0.485887716509415
106914_current;106914;106914;cross_sectional;1;0;1;0;363;1;0.9476584022038568;18.386628099173553;0.07904411239212032;243;7.124;0.0;5.5096418732782375;0.0;0.0;11.019283746556473;1.6528925619834711;1.6528925619834711;0.0;12.672176308539944;0.12396694214876033;1.6528925619834711;10.743801652892563;1.25;0.5403406686288306;0.7400113064545588;0.639131665543462;0.40229392703981615
107868_current;107868;107868;cross_sectional;1;0;1;0;107;0;0.0;0.0;2.8721144359094195;107;3.1919999999999997;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;2.0699068870061232
108398_current;108398;108398;cross_sectional;1;0;0;0;365;1;0.9671232876712329;7.651221917808219;0.9212554580738017;245;6.988;0.0;5.7534246575342465;2.191780821917808;2.191780821917808;0.273972602739726;0.0;2.191780821917808;0.273972602739726;4.657534246575342;0.043835616438356165;0.273972602739726;0.0;0.0;;0.61028407271111;0.5546970431515088;0.9412231353335025
108801_current;108801;108801;cross_sectional;1;0;1;1;72;1;1.0;39.26258333333334;8.45452340528741;72;3.604;0.0;0.0;0.0;0.0;1.3888888888888888;0.0;0.0;0.0;1.3888888888888888;0.013888888888888888;0.0;0.0;0.0;;;0.6681092332040754;0.6893768545994066
108808_current;108808;108808;cross_sectional;1;0;1;0;59;1;1.0;57.327372881355934;0.052037551422242534;59;1.748;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;0.4765002668290801;0.25708820403825716
109103_current;109103;109103;cross_sectional;0;0;0;1;92;0;0.0;0.0;0.4440435217500114;92;2.196;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.779250029572966
109520_current;109520;109520;cross_sectional;0;0;0;0;288;0;0.0;0.0;2.182762006001664;168;1.036;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;2.2049018580347646
112352_current;112352;112352;cross_sectional;1;1;1;0;365;1;0.9616438356164384;20.375158904109586;0.05672080579513251;245;5.532;0.0;0.0;0.273972602739726;0.273972602739726;3.287671232876712;2.73972602739726;0.0;0.0;3.5616438356164384;0.03561643835616438;2.73972602739726;14.520547945205479;1.0;1.1158864870868856;0.5735595890397521;0.48077275789029467;0.24520652673360252
