feature,importance,importance_std
evening_share,0.04701492537313432,0.030687888350674774
winter_share_over_night_share,0.03432835820895523,0.017722898637370026
wpb_score,0.03208955223880596,0.020176874379993694
bezug_median_kwh_d,0.02313432835820896,0.032861252024334334
bezug_mean_kwh_d,0.01567164179104479,0.021356847792916692
bezug_p95_kwh_d,0.012686567164179114,0.021770077829574373
winter_summer_ratio,0.010447761194029853,0.02116036847575796
frac_qh_above_6kw,0.00671641791044777,0.019730304576719836
midday_share,0.0067164179104477586,0.03819116890126563
bezug_peak_kw,0.0,0.034683432951111204
w_has_dedicated_hp_meter,0.0,0.0
w_n_meters,0.0,0.0
w_is_multi_unit,0.0,0.0
w_meter_concentration,0.0,0.0
w_n_meters_with_data,0.0,0.0
w_is_multi_meter,0.0,0.0
wpb_flag,0.0,0.0
w_is_winter_dominant,0.0,0.0
w_n_heat_pump_like_meters,0.0,0.0
w_meter_min_summer_share,-0.002238805970149249,0.019617073773276
night_share,-0.013432835820895528,0.020518995649056015
weekend_weekday_ratio,-0.018656716417910457,0.02491911620457314
w_n_months_in_window,-0.01940298507462688,0.00955690184691468
w_meter_max_winter_summer_ratio,-0.04029850746268657,0.018340605563350005
