plz,n_households,n_flagged,flag_rate,n_buildings,n_heat_pump,n_known,gwr_hp_rate,gwr_hp_rate_known
4303,2746,2503,0.9115076474872542,758,109,758,0.1437994722955145,0.1437994722955145
4310,7020,6284,0.8951566951566952,1923,176,1911,0.09152366094643785,0.09209837781266353
4312,822,563,0.6849148418491484,1257,563,1255,0.4478918058870326,0.44860557768924303
4313,5066,4417,0.8718910382945124,2522,764,2522,0.302934179222839,0.302934179222839
4314,13,11,0.8461538461538461,748,374,747,0.5,0.500669344042838
4315,223,67,0.3004484304932735,315,146,315,0.4634920634920635,0.4634920634920635
4316,362,292,0.8066298342541437,293,124,292,0.4232081911262799,0.4246575342465753
4317,456,378,0.8289473684210527,381,92,378,0.24146981627296588,0.24338624338624337
4322,775,658,0.8490322580645161,401,141,401,0.3516209476309227,0.3516209476309227
4323,66,30,0.45454545454545453,672,335,672,0.49851190476190477,0.49851190476190477
4324,537,463,0.8621973929236499,342,146,342,0.4269005847953216,0.4269005847953216
4325,416,321,0.7716346153846154,288,137,287,0.4756944444444444,0.47735191637630664
4332,29,14,0.4827586206896552,606,214,606,0.35313531353135313,0.35313531353135313
4333,457,394,0.862144420131291,277,140,277,0.5054151624548736,0.5054151624548736
4334,1,0,0.0,441,299,441,0.6780045351473923,0.6780045351473923
4665,2,2,1.0,2459,673,2459,0.2736884912566084,0.2736884912566084
4805,176,118,0.6704545454545454,1231,431,1231,0.35012185215272135,0.35012185215272135
4813,738,626,0.8482384823848238,441,144,441,0.32653061224489793,0.32653061224489793
4814,2,0,0.0,285,89,285,0.312280701754386,0.312280701754386
5000,1,1,1.0,3094,774,3093,0.2501616031027796,0.2502424830261882
5026,5,4,0.8,184,58,184,0.31521739130434784,0.31521739130434784
5027,716,590,0.8240223463687151,485,238,484,0.49072164948453606,0.49173553719008267
5028,10,6,0.6,276,128,276,0.463768115942029,0.463768115942029
5044,28,19,0.6785714285714286,293,72,292,0.24573378839590443,0.2465753424657534
5046,168,133,0.7916666666666666,434,105,429,0.24193548387096775,0.24475524475524477
5054,1,1,1.0,565,147,565,0.26017699115044246,0.26017699115044246
5070,1559,978,0.627325208466966,1171,528,1171,0.45089666951323654,0.45089666951323654
5072,590,454,0.7694915254237288,349,177,349,0.5071633237822349,0.5071633237822349
5073,1,0,0.0,962,513,962,0.5332640332640333,0.5332640332640333
5074,1199,1017,0.8482068390325271,611,310,611,0.5073649754500819,0.5073649754500819
5075,509,404,0.793713163064833,326,117,324,0.3588957055214724,0.3611111111111111
5076,387,303,0.7829457364341085,256,95,250,0.37109375,0.38
5077,2,2,1.0,123,45,120,0.36585365853658536,0.375
5078,291,221,0.7594501718213058,238,100,238,0.42016806722689076,0.42016806722689076
5079,6,3,0.5,376,174,374,0.4627659574468085,0.46524064171123
