group_id,has_Waermepumpe,split
104479,0,validation
104987,0,development
106914,0,test
107868,0,development
108398,0,validation
108801,1,development
108808,0,development
109103,1,development
109520,0,development
112352,0,test
113592,0,validation
115673,1,validation
117726,0,development
118160,0,development
118168,0,development
118180,1,test
118265,0,development
118609,0,validation
118639,0,development
120135,0,development
120137,0,development
122506,0,development
123159,1,development
126001,0,test
127293,0,validation
127600,0,development
129225,1,development
129447,0,test
129462,0,validation
130747,1,development
131436,0,test
131858,0,validation
132315,0,validation
132812,1,development
133692,0,test
133710,0,development
134065,0,test
134586,1,development
135287,0,test
135868,0,development
136557,0,development
137763,0,development
137898,0,test
142012,1,validation
142682,0,validation
143397,0,development
144863,0,validation
145326,0,development
146018,1,development
146807,0,development
149164,1,development
150401,0,test
150951,0,development
150964,0,development
151081,0,development
151970,0,test
152528,0,development
152557,0,development
153093,0,development
153783,1,validation
155497,0,development
156287,1,test
158544,1,test
161857,0,development
162827,0,development
162973,0,test
163954,0,validation
164222,1,validation
164237,0,development
164491,0,validation
165171,1,validation
165183,0,development
165295,1,development
165585,0,development
166831,0,development
171122,0,development
171901,1,test
174453,0,test
175022,0,test
175213,0,development
175356,0,test
175514,0,test
175560,0,validation
176306,0,test
177379,0,development
179215,1,development
184486,0,development
185674,1,development
186396,0,development
186748,1,development
187213,1,test
187258,0,development
190040 / 750463,1,validation
191828,0,validation
192082,0,validation
194098,1,development
194265,1,validation
194423,0,development
195088,1,test
197257,0,development
198827,0,development
201264,0,development
201391,0,development
215480,0,test
215929,0,development
222824,0,development
223900,0,development
227509,0,development
227913,0,development
228831,0,test
228837,0,development
241341,1,development
552884,0,validation
553509,1,development
555287,0,development
556799,0,development
556837,0,test
571965,0,validation
582164,1,validation
585660,0,development
585704,0,validation
591571,0,development
593829,1,test
594379,0,validation
595687,0,validation
688436,0,validation
689836,0,development
690299,0,validation
691339,0,development
692112,0,development
692126,0,development
692320,0,development
692466,0,validation
692550,0,development
692590,0,development
692712,0,development
692971,0,development
693106,1,development
694066,0,development
694569,0,development
694753,0,validation
695851,0,test
696780,0,development
696935,1,test
697434,0,test
697435,0,development
698970,0,development
699307,1,development
700296,1,validation
700623,0,development
700810,1,development
701696,0,validation
702016,0,validation
702339,1,development
703035,0,development
703359,0,development
703415,0,validation
704806,0,test
705057,0,test
705536,0,development
706277,0,test
706335,0,development
706538,1,development
707268,1,validation
707738,0,development
708813,0,development
708823,0,development
709084,1,development
709341,1,validation
709624,0,test
710494,1,test
710570,0,development
710897,0,test
711145,0,validation
711259,0,development
711464,1,development
712273,0,development
712641,1,development
713405,1,test
713578,0,test
713894,0,development
714489,1,test
714588,0,development
714621,0,development
714976,1,test
715586,0,development
716143,0,validation
716671,1,validation
716735,0,development
716968,1,validation
717438,0,development
717797,0,development
717974,0,development
718040,0,validation
718645,0,development
718990,1,development
719301,0,development
719912,0,development
720022,1,development
720199,0,development
720260,0,test
720480,0,development
720808,0,development
720967,1,development
721906,1,test
722764,0,development
722853,0,validation
722929,0,development
722955,0,test
723437,1,development
723468,1,development
723701,1,validation
723937,0,validation
723966,0,development
724118,0,development
724334,0,validation
724881,1,development
725159,0,validation
726547,1,development
727027,0,validation
727135,0,validation
727137,0,test
727423,1,development
727903,0,development
729113,1,development
730631,1,development
731486,0,development
731568,0,validation
731681,0,test
732971,0,development
733114,0,development
734306,1,development
734481,0,development
734540,0,development
734850,1,development
735579,0,validation
735831,0,development
736207,0,development
736402,0,development
737347,1,test
738516,1,development
738591,0,validation
738793,1,development
739178,1,validation
739616,0,validation
740230,1,test
740351,1,development
740532,0,test
740863,0,test
741214,0,development
741254,1,development
741910,0,development
742207,1,validation
742993,1,validation
743047,0,development
743335,0,validation
744851,0,test
744897,1,test
745415,0,test
745424,0,development
745464,1,development
745959,1,development
745999,1,test
746421,1,development
746764,0,development
747439,0,development
748404,1,development
748606,0,development
748977,1,development
749578,0,development
750388,0,development
750496,0,development
751215,0,development
751403,1,validation
751454,1,validation
751780,0,development
751926,0,test
752093,0,test
757719,1,validation
759548,1,test
764446,1,development
770736,0,development
776146,1,development
778612,0,development
785007,0,test
785360,1,development
785531,1,development
785596,1,development
785642,1,development
790904,1,development
805535,0,development
805537,0,development
806207,0,development
809909,0,development
811757,0,development
812506,0,development
812691,1,development
813191,0,validation
821251,0,validation
821253,1,development
821258,0,development
821264,0,development
821268,0,development
821784,1,development
829143,1,test
847175,0,validation
851473,0,development
859760,1,development
863162,0,development
865899,0,test
866821,1,test
867344,1,validation
867869,0,development
868792,1,development
870640,1,development
872270,1,development
874661,0,test
878287,0,development
878846,0,development
881402,0,development
884000,0,development
885322,0,development
885769,0,development
890111,0,test
891106,0,test
893520,0,validation
896125,0,test
896592,0,validation
897353,0,test
897928,0,test
898693,0,test
903068,0,development
906291,1,development
906991,1,development
909265,1,development
