target_kw,mp_id,donor_mp_id,injected_daily_kwh,injected_peak_kw,night_noise_kwh_slot,recovered,donor_based
0.3,53628,63027,4.008871555328369,0.3074089288711548,0.358,0,True
0.3,155092,134329,4.295955181121826,0.316070556640625,1.1208,0,True
0.3,120027,130287,1.0837047100067139,0.2978515625,9.5739,0,True
0.3,156859,122261,2.1402249336242676,0.3092803955078125,1.4826,0,True
0.3,134355,94429,1.1845643520355225,0.311126708984375,2.2773,0,True
0.3,50922,122261,2.1364195346832275,0.30730438232421875,1.0141,0,True
0.3,45390,46952,2.305161476135254,0.34875333309173584,2.1883,0,True
0.3,52540,130287,1.089644193649292,0.2989959716796875,1.8384,0,True
0.3,45389,128655,1.7166775465011597,0.3362007141113281,0.0756,0,True
0.3,42451,134329,3.908748149871826,0.3118171691894531,0.8829,0,True
0.3,53638,46952,2.3765673637390137,0.35129356384277344,1.1842,0,True
0.3,49688,39692,3.718433380126953,0.36665862798690796,0.0089,1,True
0.3,150072,94429,1.2119032144546509,0.31062501668930054,0.0074,1,True
0.3,109606,94429,1.201185703277588,0.310533344745636,0.0074,1,True
0.3,59324,46952,2.247793197631836,0.3511316478252411,0.0593,1,True
0.3,119204,122261,2.4494035243988037,0.3075218200683594,0.0,1,True
0.3,152249,94429,1.1814112663269043,0.31062498688697815,0.0163,1,True
0.3,40596,39692,3.781363010406494,0.37635380029678345,0.0178,1,True
0.3,108942,94429,1.1606934070587158,0.3136249780654907,0.0474,1,True
0.3,79328,94429,1.1867984533309937,0.3136249780654907,0.0044,1,True
0.3,43023,128655,1.7753665447235107,0.33352887630462646,0.0015,1,True
0.3,160281,154455,6.610612869262695,0.39617350697517395,0.0074,0,True
0.3,146154,72042,1.5680967569351196,0.3093794584274292,0.0089,1,True
0.3,151620,72042,1.5651286840438843,0.3077474534511566,0.0104,1,True
0.3,43886,134329,4.142385005950928,0.31864383816719055,0.0371,0,True
0.3,161721,128655,1.7581130266189575,0.3335339426994324,0.0133,1,True
0.3,130959,128655,1.6978548765182495,0.3346666693687439,0.0015,1,True
0.3,81628,63027,4.287290573120117,0.3075826168060303,0.0,0,True
0.3,103625,134329,4.324703693389893,0.31664326786994934,0.0089,0,True
0.3,139899,134329,4.548748016357422,0.317458838224411,0.0089,0,True
0.3,50750,130287,1.1027419567108154,0.30053335428237915,0.0074,1,True
0.3,153523,63027,4.152032375335693,0.307431697845459,0.0089,0,True
0.3,60129,128655,1.6961290836334229,0.3354285955429077,0.0044,1,True
0.3,50906,94429,1.2057418823242188,0.3111250102519989,0.0015,1,True
0.3,62671,94429,1.1691129207611084,0.312666654586792,0.0341,1,True
0.3,161592,128655,1.6316614151000977,0.3357999920845032,0.003,0,True
0.3,80891,130287,1.0597419738769531,0.2990000247955322,0.0311,1,True
