plz,n_buildings,n_hotwater_hp,n_separate_wpb,n_known,n_small_air_boiler,gwr_hp_rate,gwr_separate_wpb_rate,gwr_hp_rate_known,gwr_hp_rate_including_small_air
4303,758,68,2,755,0,0.08970976253298153,0.002638522427440633,0.09006622516556291,0.08970976253298153
4304,1,0,0,1,0,0.0,0.0,0.0,0.0
4305,158,40,5,157,0,0.25316455696202533,0.03164556962025317,0.25477707006369427,0.25316455696202533
4310,1923,131,4,1906,0,0.06812272490899636,0.0020800832033281333,0.06873032528856243,0.06812272490899636
4312,1257,321,8,1247,0,0.2553699284009546,0.006364359586316627,0.2574178027265437,0.2553699284009546
4313,2522,163,20,2512,0,0.06463124504361618,0.007930214115781126,0.06488853503184713,0.06463124504361618
4314,748,224,3,746,0,0.2994652406417112,0.004010695187165776,0.3002680965147453,0.2994652406417112
4315,315,76,4,314,0,0.24126984126984127,0.012698412698412698,0.24203821656050956,0.24126984126984127
4316,293,56,1,290,0,0.19112627986348124,0.0034129692832764505,0.19310344827586207,0.19112627986348124
4317,381,61,2,379,0,0.16010498687664043,0.005249343832020997,0.16094986807387862,0.16010498687664043
4322,401,88,4,401,0,0.2194513715710723,0.00997506234413965,0.2194513715710723,0.2194513715710723
4323,672,224,7,671,0,0.3333333333333333,0.010416666666666666,0.33383010432190763,0.3333333333333333
4324,342,54,3,342,0,0.15789473684210525,0.008771929824561403,0.15789473684210525,0.15789473684210525
4325,288,81,2,279,0,0.28125,0.006944444444444444,0.2903225806451613,0.28125
4332,606,169,4,600,0,0.27887788778877887,0.006600660066006601,0.2816666666666667,0.27887788778877887
4333,277,104,4,276,0,0.37545126353790614,0.01444043321299639,0.37681159420289856,0.37545126353790614
4334,441,104,4,439,0,0.23582766439909297,0.009070294784580499,0.23690205011389523,0.23582766439909297
4465,1,0,0,1,0,0.0,0.0,0.0,0.0
4600,3,1,0,3,0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
4656,1,0,0,1,0,0.0,0.0,0.0,0.0
4663,1530,276,7,1511,0,0.1803921568627451,0.004575163398692811,0.18266048974189278,0.1803921568627451
4665,2459,559,21,2450,0,0.22732818218788126,0.00854005693371289,0.22816326530612244,0.22732818218788126
4800,2128,336,14,2115,0,0.15789473684210525,0.006578947368421052,0.15886524822695036,0.15789473684210525
4802,1115,148,2,1113,0,0.13273542600896862,0.0017937219730941704,0.132973944294699,0.13273542600896862
4803,607,153,5,607,0,0.25205930807248766,0.008237232289950576,0.25205930807248766,0.25205930807248766
4805,1231,296,1,1228,0,0.2404549147034931,0.0008123476848090983,0.24104234527687296,0.2404549147034931
4812,323,74,0,322,0,0.22910216718266255,0.0,0.22981366459627328,0.22910216718266255
4813,441,85,5,441,0,0.1927437641723356,0.011337868480725623,0.1927437641723356,0.1927437641723356
4814,285,55,2,285,0,0.19298245614035087,0.007017543859649123,0.19298245614035087,0.19298245614035087
4852,2179,618,15,2167,0,0.2836163377696191,0.006883891693437357,0.28518689432395017,0.2836163377696191
4853,669,153,4,668,0,0.22869955156950672,0.005979073243647235,0.22904191616766467,0.22869955156950672
4856,269,45,2,269,0,0.16728624535315986,0.007434944237918215,0.16728624535315986,0.16728624535315986
4914,2,0,0,1,0,0.0,0.0,0.0,0.0
4915,3,0,0,3,0,0.0,0.0,0.0,0.0
5000,3094,753,120,3080,0,0.2433742727860375,0.03878474466709761,0.2444805194805195,0.2433742727860375
5004,53,0,0,52,0,0.0,0.0,0.0,0.0
5017,2,2,0,2,0,1.0,0.0,1.0,1.0
5018,1136,349,6,1101,0,0.30721830985915494,0.00528169014084507,0.3169845594913715,0.30721830985915494
5022,626,159,1,623,0,0.2539936102236422,0.001597444089456869,0.2552166934189406,0.2539936102236422
5023,532,154,3,531,0,0.2894736842105263,0.005639097744360902,0.2900188323917137,0.2894736842105263
5024,1054,255,4,1053,0,0.24193548387096775,0.003795066413662239,0.24216524216524216,0.24193548387096775
5025,104,27,0,104,0,0.25961538461538464,0.0,0.25961538461538464,0.25961538461538464
5026,184,49,2,182,0,0.266304347826087,0.010869565217391304,0.2692307692307692,0.266304347826087
5027,485,130,3,482,0,0.26804123711340205,0.006185567010309278,0.2697095435684647,0.26804123711340205
5028,276,64,1,274,0,0.2318840579710145,0.0036231884057971015,0.23357664233576642,0.2318840579710145
5032,711,205,31,710,0,0.2883263009845288,0.04360056258790436,0.2887323943661972,0.2883263009845288
5033,1456,272,4,1454,0,0.18681318681318682,0.0027472527472527475,0.18707015130674004,0.18681318681318682
5034,1843,313,5,1809,0,0.16983179598480738,0.0027129679869777536,0.1730237700386954,0.16983179598480738
5035,940,149,3,934,0,0.15851063829787235,0.0031914893617021275,0.15952890792291222,0.15851063829787235
5036,1556,310,18,1546,0,0.19922879177377892,0.011568123393316195,0.20051746442432083,0.19922879177377892
5037,1143,213,9,1138,0,0.18635170603674542,0.007874015748031496,0.18717047451669597,0.18635170603674542
5040,995,192,2,993,0,0.192964824120603,0.0020100502512562816,0.1933534743202417,0.192964824120603
5042,477,126,2,475,0,0.2641509433962264,0.0041928721174004195,0.26526315789473687,0.2641509433962264
5043,323,55,1,315,0,0.17027863777089783,0.0030959752321981426,0.1746031746031746,0.17027863777089783
5044,293,34,0,291,0,0.11604095563139932,0.0,0.11683848797250859,0.11604095563139932
5046,434,65,5,427,0,0.1497695852534562,0.01152073732718894,0.1522248243559719,0.1497695852534562
5053,366,53,1,364,0,0.1448087431693989,0.00273224043715847,0.14560439560439561,0.1448087431693989
5054,565,74,6,563,0,0.13097345132743363,0.010619469026548672,0.13143872113676733,0.13097345132743363
5056,111,22,0,111,0,0.1981981981981982,0.0,0.1981981981981982,0.1981981981981982
5057,382,77,4,380,0,0.20157068062827224,0.010471204188481676,0.2026315789473684,0.20157068062827224
5058,63,15,0,62,0,0.23809523809523808,0.0,0.24193548387096775,0.23809523809523808
5062,198,51,2,197,0,0.25757575757575757,0.010101010101010102,0.25888324873096447,0.25757575757575757
5063,323,45,2,323,0,0.1393188854489164,0.006191950464396285,0.1393188854489164,0.1393188854489164
5064,419,158,3,418,0,0.37708830548926014,0.007159904534606206,0.37799043062200954,0.37708830548926014
5070,1171,322,1,1165,0,0.2749786507258753,0.0008539709649871904,0.27639484978540774,0.2749786507258753
5072,349,129,1,347,0,0.36962750716332377,0.0028653295128939827,0.37175792507204614,0.36962750716332377
5073,962,275,7,956,0,0.28586278586278585,0.007276507276507277,0.28765690376569036,0.28586278586278585
5074,611,169,3,605,0,0.2765957446808511,0.004909983633387889,0.2793388429752066,0.2765957446808511
5075,326,75,0,324,0,0.23006134969325154,0.0,0.23148148148148148,0.23006134969325154
5076,256,77,2,250,0,0.30078125,0.0078125,0.308,0.30078125
5077,123,19,1,123,0,0.15447154471544716,0.008130081300813009,0.15447154471544716,0.15447154471544716
5078,238,75,1,238,0,0.31512605042016806,0.004201680672268907,0.31512605042016806,0.31512605042016806
5079,376,85,3,374,0,0.22606382978723405,0.007978723404255319,0.22727272727272727,0.22606382978723405
5080,510,84,2,510,0,0.16470588235294117,0.00392156862745098,0.16470588235294117,0.16470588235294117
5082,756,197,4,752,0,0.2605820105820106,0.005291005291005291,0.261968085106383,0.2605820105820106
5083,112,40,0,111,0,0.35714285714285715,0.0,0.36036036036036034,0.35714285714285715
5084,81,16,0,81,0,0.19753086419753085,0.0,0.19753086419753085,0.19753086419753085
5085,370,93,3,369,0,0.25135135135135134,0.008108108108108109,0.25203252032520324,0.25135135135135134
5102,1368,276,9,1362,0,0.20175438596491227,0.006578947368421052,0.2026431718061674,0.20175438596491227
5103,1249,277,0,1249,0,0.22177742193755004,0.0,0.22177742193755004,0.22177742193755004
5105,636,215,1,636,0,0.3380503144654088,0.0015723270440251573,0.3380503144654088,0.3380503144654088
5106,477,133,11,475,0,0.27882599580712786,0.023060796645702306,0.28,0.27882599580712786
5107,592,160,5,589,0,0.2702702702702703,0.008445945945945946,0.27164685908319186,0.2702702702702703
5108,186,29,1,185,0,0.15591397849462366,0.005376344086021506,0.15675675675675677,0.15591397849462366
5112,320,74,0,315,0,0.23125,0.0,0.23492063492063492,0.23125
5113,301,48,4,300,0,0.15946843853820597,0.013289036544850499,0.16,0.15946843853820597
5116,326,40,5,318,0,0.12269938650306748,0.015337423312883436,0.12578616352201258,0.12269938650306748
5200,1844,192,11,1832,0,0.10412147505422993,0.00596529284164859,0.10480349344978165,0.10412147505422993
5210,1309,221,16,1296,0,0.16883116883116883,0.012223071046600458,0.1705246913580247,0.16883116883116883
5212,765,118,3,763,0,0.1542483660130719,0.00392156862745098,0.15465268676277852,0.1542483660130719
5213,483,111,2,481,0,0.22981366459627328,0.004140786749482402,0.23076923076923078,0.22981366459627328
5222,302,51,3,301,0,0.16887417218543047,0.009933774834437087,0.16943521594684385,0.16887417218543047
5223,419,43,4,417,0,0.1026252983293556,0.00954653937947494,0.10311750599520383,0.1026252983293556
5225,574,92,2,572,0,0.1602787456445993,0.003484320557491289,0.16083916083916083,0.1602787456445993
5233,118,9,0,114,0,0.07627118644067797,0.0,0.07894736842105263,0.07627118644067797
5234,500,62,2,497,0,0.124,0.004,0.12474849094567404,0.124
5235,287,49,1,280,0,0.17073170731707318,0.003484320557491289,0.175,0.17073170731707318
5236,353,93,0,352,0,0.26345609065155806,0.0,0.26420454545454547,0.26345609065155806
5237,167,29,0,167,0,0.17365269461077845,0.0,0.17365269461077845,0.17365269461077845
5242,1254,301,14,1252,0,0.24003189792663476,0.011164274322169059,0.24041533546325877,0.24003189792663476
5243,262,62,0,262,0,0.2366412213740458,0.0,0.2366412213740458,0.2366412213740458
5244,277,85,2,277,0,0.30685920577617326,0.007220216606498195,0.30685920577617326,0.30685920577617326
5245,140,36,2,139,0,0.2571428571428571,0.014285714285714285,0.2589928057553957,0.2571428571428571
5246,226,56,3,226,0,0.24778761061946902,0.01327433628318584,0.24778761061946902,0.24778761061946902
5272,360,77,2,352,0,0.21388888888888888,0.005555555555555556,0.21875,0.21388888888888888
5273,115,29,0,114,0,0.25217391304347825,0.0,0.2543859649122807,0.25217391304347825
5274,131,15,2,126,0,0.11450381679389313,0.015267175572519083,0.11904761904761904,0.11450381679389313
5275,147,35,0,147,0,0.23809523809523808,0.0,0.23809523809523808,0.23809523809523808
5276,239,63,2,239,0,0.26359832635983266,0.008368200836820083,0.26359832635983266,0.26359832635983266
5277,100,35,0,100,0,0.35,0.0,0.35,0.35
5300,497,62,1,496,0,0.12474849094567404,0.002012072434607646,0.125,0.12474849094567404
5301,81,3,0,81,0,0.037037037037037035,0.0,0.037037037037037035,0.037037037037037035
5303,1130,149,3,1121,0,0.13185840707964602,0.002654867256637168,0.13291703835860838,0.13185840707964602
5304,643,95,12,642,0,0.14774494556765164,0.01866251944012442,0.14797507788161993,0.14774494556765164
5305,119,20,2,118,0,0.16806722689075632,0.01680672268907563,0.1694915254237288,0.16806722689075632
5306,370,120,10,369,0,0.32432432432432434,0.02702702702702703,0.3252032520325203,0.32432432432432434
5312,827,187,4,823,0,0.22611850060459493,0.0048367593712212815,0.22721749696233293,0.22611850060459493
5313,952,143,3,938,0,0.15021008403361344,0.0031512605042016808,0.15245202558635396,0.15021008403361344
5314,616,57,3,611,0,0.09253246753246754,0.00487012987012987,0.09328968903436989,0.09253246753246754
5315,124,30,1,123,0,0.24193548387096775,0.008064516129032258,0.24390243902439024,0.24193548387096775
5316,613,110,1,611,0,0.17944535073409462,0.0016313213703099511,0.18003273322422259,0.17944535073409462
5317,96,4,0,96,0,0.041666666666666664,0.0,0.041666666666666664,0.041666666666666664
5318,109,34,1,109,0,0.3119266055045872,0.009174311926605505,0.3119266055045872,0.3119266055045872
