plz,n_meters,n_flagged,flag_rate,n_buildings,n_hotwater_hp,n_known,n_small_air_boiler,gwr_hp_rate,gwr_hp_rate_known,gwr_hp_rate_including_small_air
4303,2943,38,0.01291199456337071,758,68,755,0,0.0897097625329815,0.0900662251655629,0.0897097625329815
4304,1,0,0.0,1,0,1,0,0.0,0.0,0.0
4310,7420,59,0.007951482479784366,1923,131,1906,0,0.0681227249089963,0.0687303252885624,0.0681227249089963
4312,22,0,0.0,1257,321,1247,0,0.2553699284009546,0.2574178027265437,0.2553699284009546
4313,4685,49,0.010458911419423693,2522,163,2512,0,0.0646312450436161,0.0648885350318471,0.0646312450436161
4314,17,0,0.0,748,224,746,0,0.2994652406417112,0.3002680965147453,0.2994652406417112
4315,4,0,0.0,315,76,314,0,0.2412698412698412,0.2420382165605095,0.2412698412698412
4316,403,5,0.01240694789081886,293,56,290,0,0.1911262798634812,0.193103448275862,0.1911262798634812
4317,506,4,0.007905138339920948,381,61,379,0,0.1601049868766404,0.1609498680738786,0.1601049868766404
4322,884,10,0.011312217194570135,401,88,401,0,0.2194513715710723,0.2194513715710723,0.2194513715710723
4323,99,0,0.0,672,224,671,0,0.3333333333333333,0.3338301043219076,0.3333333333333333
4324,603,9,0.014925373134328358,342,54,342,0,0.1578947368421052,0.1578947368421052,0.1578947368421052
4325,472,6,0.012711864406779662,288,81,279,0,0.28125,0.2903225806451613,0.28125
4332,11,0,0.0,606,169,600,0,0.2788778877887788,0.2816666666666667,0.2788778877887788
4333,72,0,0.0,277,104,276,0,0.3754512635379061,0.3768115942028985,0.3754512635379061
4665,2,0,0.0,2459,559,2450,0,0.2273281821878812,0.2281632653061224,0.2273281821878812
4805,49,0,0.0,1231,296,1228,0,0.2404549147034931,0.2410423452768729,0.2404549147034931
4813,875,17,0.019428571428571427,441,85,441,0,0.1927437641723356,0.1927437641723356,0.1927437641723356
4814,3,0,0.0,285,55,285,0,0.1929824561403508,0.1929824561403508,0.1929824561403508
5027,803,6,0.007471980074719801,485,130,482,0,0.268041237113402,0.2697095435684647,0.268041237113402
5028,3,0,0.0,276,64,274,0,0.2318840579710145,0.2335766423357664,0.2318840579710145
5044,26,1,0.038461538461538464,293,34,291,0,0.1160409556313993,0.1168384879725085,0.1160409556313993
5046,35,0,0.0,434,65,427,0,0.1497695852534562,0.1522248243559719,0.1497695852534562
5054,1,0,0.0,565,74,563,0,0.1309734513274336,0.1314387211367673,0.1309734513274336
5070,380,5,0.013157894736842105,1171,322,1165,0,0.2749786507258753,0.2763948497854077,0.2749786507258753
5072,596,4,0.006711409395973154,349,129,347,0,0.3696275071633237,0.3717579250720461,0.3696275071633237
5073,2,0,0.0,962,275,956,0,0.2858627858627858,0.2876569037656903,0.2858627858627858
5074,1326,18,0.013574660633484163,611,169,605,0,0.2765957446808511,0.2793388429752066,0.2765957446808511
5075,542,6,0.01107011070110701,326,75,324,0,0.2300613496932515,0.2314814814814814,0.2300613496932515
5076,468,3,0.00641025641025641,256,77,250,0,0.30078125,0.308,0.30078125
5078,326,1,0.003067484662576687,238,75,238,0,0.315126050420168,0.315126050420168,0.315126050420168
5079,3,0,0.0,376,85,374,0,0.226063829787234,0.2272727272727272,0.226063829787234
5105,937,15,0.016008537886873,636,215,636,0,0.3380503144654088,0.3380503144654088,0.3380503144654088
5106,820,7,0.00853658536585366,477,133,475,0,0.2788259958071278,0.28,0.2788259958071278
5107,1086,18,0.016574585635359115,592,160,589,0,0.2702702702702703,0.2716468590831918,0.2702702702702703
5108,287,3,0.010452961672473868,186,29,185,0,0.1559139784946236,0.1567567567567567,0.1559139784946236
5112,12,0,0.0,320,74,315,0,0.23125,0.2349206349206349,0.23125
5113,911,17,0.018660812294182216,301,48,300,0,0.1594684385382059,0.16,0.1594684385382059
5213,19,0,0.0,483,111,481,0,0.2298136645962732,0.2307692307692307,0.2298136645962732
5223,1,0,0.0,419,43,417,0,0.1026252983293556,0.1031175059952038,0.1026252983293556
5225,935,10,0.0106951871657754,574,92,572,0,0.1602787456445993,0.1608391608391608,0.1602787456445993
5235,339,9,0.02654867256637168,287,49,280,0,0.1707317073170731,0.175,0.1707317073170731
5236,1,0,0.0,353,93,352,0,0.263456090651558,0.2642045454545454,0.263456090651558
5237,228,0,0.0,167,29,167,0,0.1736526946107784,0.1736526946107784,0.1736526946107784
5244,509,4,0.007858546168958742,277,85,277,0,0.3068592057761732,0.3068592057761732,0.3068592057761732
5272,31,0,0.0,360,77,352,0,0.2138888888888888,0.21875,0.2138888888888888
5301,243,3,0.012345679012345678,81,3,81,0,0.037037037037037,0.037037037037037,0.037037037037037
