min_meters,reference,n_postcodes,rho,pvalue
1,gwr_hp_rate,104,-0.15131049131265567,0.12521112933210127
1,gwr_separate_wpb_rate,104,-0.0783106183748304,0.42942439121589293
1,gwr_hp_rate_known,104,-0.14828504880877671,0.1330304833949613
1,gwr_hp_rate_including_small_air,104,-0.15131049131265567,0.12521112933210127
30,gwr_hp_rate,72,-0.12317794104907218,0.302616339934457
30,gwr_separate_wpb_rate,72,0.12458340714209896,0.29709052559446014
30,gwr_hp_rate_known,72,-0.12650837911035195,0.2896299805600302
30,gwr_hp_rate_including_small_air,72,-0.12317794104907218,0.302616339934457
100,gwr_hp_rate,63,-0.02424184238176656,0.8504155416512558
100,gwr_separate_wpb_rate,63,0.2692719409773546,0.03283708324993262
100,gwr_hp_rate_known,63,-0.02637800473025886,0.8374065083519794
100,gwr_hp_rate_including_small_air,63,-0.02424184238176656,0.8504155416512558
